-----
{
 "description": "This data provides district-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2012-13 (Upto February '13).", 
 "file_name": "DISTRICT_WISE_ALLOCATION_RELEASE_EXPEND_FY12-13_TILL_FEB_13.xls", 
 "title": "District-Wise Allocation / Release And Expenditure of NRDWP Fund for 2012-2013 ", 
 "url": "http://data.gov.in/sites/default/files/DISTRICT_WISE_ALLOCATION_RELEASE_EXPEND_FY12-13_TILL_FEB_13.xls"
}
-----
"State Name","District Name","Opening Balance (Rs. in Crores)","Allocation Total (Rs. in Crores)","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)","Expenditure Central (Rs. in Crores)","Expenditure State (Rs. in Crores)"
"ANDAMAN and NICOBAR","StateHQ(ANDAMAN and NICOBAR)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","NICOBARS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","North and Middle Andaman",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDAMAN and NICOBAR","SOUTH ANDAMAN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","StateHQ(ANDHRA PRADESH)",0.0,0.0,0.0,0.0,4.42,4.42,0.0,3.57,3.57,0.0
"ANDHRA PRADESH","ADILABAD(19)",0.0,0.0,0.0,0.0,53.49,25.95,27.54,16.9,7.04,9.87
"ANDHRA PRADESH","ANANTAPUR(12)",0.0,0.0,0.0,0.0,130.24,34.7,95.54,99.76,21.25,78.51
"ANDHRA PRADESH","CHITTOOR(10)",0.0,0.0,0.0,0.0,58.83,53.49,5.34,46.11,43.11,3.01
"ANDHRA PRADESH","EAST GODAVARI(04)",0.0,0.0,0.0,0.0,68.07,52.2,15.87,51.64,44.74,6.9
"ANDHRA PRADESH","GUNTUR(07)",0.0,0.0,0.0,0.0,40.4,28.3,12.1,26.89,20.07,6.82
"ANDHRA PRADESH","KADAPA(11)",0.0,0.0,0.0,0.0,22.05,6.48,15.56,11.55,4.97,6.58
"ANDHRA PRADESH","KARIMNAGAR(20)",0.0,0.0,0.0,0.0,56.52,25.68,30.84,37.67,21.53,16.13
"ANDHRA PRADESH","KHAMMAM(22)",0.0,0.0,0.0,0.0,44.38,32.82,11.56,25.18,16.94,8.25
"ANDHRA PRADESH","KRISHNA(06)",0.0,0.0,0.0,0.0,42.58,26.29,16.29,28.32,18.33,10.0
"ANDHRA PRADESH","KURNOOL(13)",0.0,0.0,0.0,0.0,35.04,23.97,11.07,23.18,18.44,4.74
"ANDHRA PRADESH","MAHABOOBNAGAR(14)",0.0,0.0,0.0,0.0,54.97,31.73,23.24,25.97,18.99,6.98
"ANDHRA PRADESH","MEDAK(17)",0.0,0.0,0.0,0.0,79.57,59.89,19.68,54.77,47.18,7.58
"ANDHRA PRADESH","NALGONDA(23)",0.0,0.0,0.0,0.0,118.73,100.19,18.53,84.82,77.45,7.36
"ANDHRA PRADESH","NELLORE(09)",0.0,0.0,0.0,0.0,18.06,8.81,9.25,11.52,6.26,5.26
"ANDHRA PRADESH","NIZAMABAD(18)",0.0,0.0,0.0,0.0,40.89,26.33,14.56,19.67,12.3,7.37
"ANDHRA PRADESH","PRAKASAM(08)",0.0,0.0,0.0,0.0,86.57,36.37,50.2,47.8,30.77,17.03
"ANDHRA PRADESH","RANGAREDDY(15)",0.0,0.0,0.0,0.0,41.73,16.51,25.22,31.75,15.73,16.02
"ANDHRA PRADESH","SRIKAKULAM(01)",0.0,0.0,0.0,0.0,20.23,11.03,9.2,13.15,7.17,5.98
"ANDHRA PRADESH","VISAKHAPATNAM(03)",0.0,0.0,0.0,0.0,26.33,10.34,16.0,15.18,8.45,6.73
"ANDHRA PRADESH","VIZIANAGARAM(02)",0.0,0.0,0.0,0.0,36.82,13.0,23.82,21.1,5.24,15.85
"ANDHRA PRADESH","WARANGAL(21)",0.0,0.0,0.0,0.0,41.14,32.54,8.6,21.17,17.24,3.93
