-----
{
 "description": "The table gives the number of registered general nursing midwives, auxiliary nurse-midwives and health visitors from 2000 on wards for All India and for 2009 and 2010 for States. ", 
 "file_name": "Number_of_Registered_General_Nursing_Midwives_Auxiliary_Nurse-Midwives_And_Health_Visitors.xls", 
 "title": "Number of Registered General Nursing Midwives/ Auxiliary Nurse-Midwives And Health Visitors ", 
 "url": "http://data.gov.in/sites/default/files/Number_of_Registered_General_Nursing_Midwives_Auxiliary_Nurse-Midwives_And_Health_Visitors.xls"
}
-----
"Year/Name of the State Nursing Concil & Examination Boards","General Nursing Midwives","Auxiliary nursing midwives","Health visitors & Health supervisors"
" 2000",776355.0,419077.0,35890.0
" 2001",805827.0,428568.0,35904.0
" 2002","NULL","NULL","NULL"
" 2003",839862.0,502503.0,40536.0
" 2004",865135.0,506924.0,50393.0
" 2005",908962.0,521593.0,50715.0
" 2006","NULL","NULL","NULL"
" 2007",971574.0,549292.0,51497.0
" 2008",1043363.0,557022.0,51776.0
" 2009",1073638.0,576542.0,52375.0
"2010",1238874.0,603131.0,52963.0
