-----
{
 "description": "This data provides details on domestic saving by type of institution at current prices from 2004-05 to 2010-11.", 
 "file_name": "DOMESTIC_SAVING_BY_TYPE_OF_INSTITUTION_AT_CURRENT_PRICES.xls", 
 "title": "Domestic Saving By Type Of Institution At Current Prices From 2004-05 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/DOMESTIC_SAVING_BY_TYPE_OF_INSTITUTION_AT_CURRENT_PRICES.xls"
}
-----
"Item","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11"
"gross domestic saving",1527369.67483,1737975.80946,1988792.67561,2236693.85641,2661745.13843,3278076.42383,3498622.37711
"household sector",763684.837417,868987.90473,994396.337803,1118346.9282,1330872.56921,1639038.21192,1749311.18855
"financial saving",327955.99,438331.32,484256.2404,580209.72535,571026.42,835557.68,767691.14
"saving in physical assets",435728.847417,430656.58473,510140.097403,538137.202854,759846.149214,803480.531916,981620.048553
"private corporate sector",212519.0,277207.728386,338583.521073,469022.81746,417467.401162,532135.931073,602463.989065
"joint stock companies ",195910.0,257490.0,317283.0,446187.0,393172.0,505034.52,570847.37
"co-operative banks & societies ",16609.0,19717.7283856,21300.5210725,22835.8174604,24295.4011624,27101.4110726,31616.619065
"public sector",74498.96,88955.05,152928.76,248962.03,54280.08,11796.0,130155.41
"public authorities",-59516.0,-58279.0,-19983.0,54255.0,-133413.0,-177097.0,-99212.0
"government administration ",-75256.0,-76881.0,-44554.0,25526.0,-156406.0,-203500.0,-125411.0
"departmental enterprises",15740.0,18602.0,24571.0,28729.0,22993.0,26403.0,26199.0
"non-departmental enterprises",134014.96,147234.05,172911.76,194707.03,187693.08,188893.0,229367.41
"less consumption of fixed capital **",319891.0,363721.0,418729.0,484695.0,565198.0,657897.0,753473.0
"household sector",111036.0,125369.0,143895.0,163673.0,196670.0,229627.0,270049.0
"private corporate sector",99850.0,118967.0,143347.0,175895.0,205849.0,238071.0,277675.0
"public sector",109005.0,119385.0,131487.0,145127.0,162679.0,190199.0,205749.0
"net domestic saving",730811.797417,871429.683116,1067179.61888,1351636.77566,1237422.05038,1525073.14299,1728457.58762
"household sector (1.1-2.1)",652648.837417,743618.90473,850501.337803,954673.928204,1134202.56921,1409411.21192,1479262.18855
"private corporate sector  (1.2-2.2)",112669.0,158240.728386,195236.521073,293127.81746,211618.401162,294064.931073,324788.989065
"public sector (1.3-2.3)",-34506.04,-30429.95,21441.76,103835.03,-108398.92,-178403.0,-75593.59
"net capital inflow ***",13338.0,44603.0,45524.0,64430.0,128760.0,181790.0,"NA"
"finances for gross capital formation (1+4)",1064040.84742,1279890.86102,1531567.80274,1901928.0,1927107.0,2389212.61801,"NA"
