-----
{
 "description": "This table contains data related to quantity and value of exports of Metals and Alloys from 2008-09 to 2010-11.", 
 "file_name": "EXPORTS_OF_METALS_AND_ALLOYS.xls", 
 "title": "Exports Of Metals And Alloys From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/EXPORTS_OF_METALS_AND_ALLOYS.xls"
}
-----
"Ore/Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"All Metals and Alloys","","**",822391369.0,"**",579753977.0,"**",1290231272.0
"Aluminium alloys & scrap","tonne",429433.0,53404671.0,440762.0,49177673.0,553115.0,70907167.0
"Antimony alloys & scrap","tonne",57.0,17537.0,32.0,13998.0,853.0,417247.0
"Bismuth & Scrap","tonne",10.0,9032.0,20.0,12650.0,"++",312.0
"Boron","tonne",383.0,44812.0,356.0,84795.0,29.0,6722.0
"Cadmium waste & scrap","tonne","++",2276.0,53.0,11864.0,14.0,13708.0
"Cement copper (precipitated)","tonne",14.0,531.0,"…","…",1.0,244.0
"Chromium & alloys (scrap)","tonne",11.0,231901.0,7.0,4770.0,22.0,14454.0
"Cobalt alloys & Scrap:Total","tonne",274.0,704376.0,187.0,340757.0,264.0,422752.0
"   Cobalt & alloys","tonne",245.0,695140.0,168.0,338720.0,258.0,418944.0
"   Cobalt (scrap)","tonne",29.0,9236.0,19.0,2037.0,6.0,3808.0
"Copper & alloys(incl.brass & bronze):Total","tonne",278655.0,80988135.0,303749.0,85146161.0,973501.0,367165694.0
"   Copper and alloys","tonne",245683.0,72084889.0,274690.0,77997519.0,942931.0,357585954.0
"   Copper (scrap)","tonne",768.0,186253.0,2250.0,530500.0,3169.0,1153590.0
"   Copper Alloys ( Scrap)","tonne",5.0,1013.0,19.0,2759.0,19.0,4971.0
"   Brass & bronze","tonne",31967.0,8639392.0,26565.0,6571018.0,27158.0,8387685.0
"   Brass & bronze (scrap)","tonne",232.0,76588.0,225.0,44365.0,224.0,33494.0
"Ferro alloys : Total","tonne",960100.0,68781535.0,862769.0,41394476.0,2240354.0,133915094.0
"   Ferro-boron","tonne",2.0,380.0,3.0,629.0,1.0,157.0
"   Ferro-chrome","tonne",491677.0,34188265.0,471953.0,21848549.0,1305855.0,81673185.0
