-----
{
 "description": "As per minimum requirement, a Primary Health Centres (PHCs) is to be manned by a Medical Officer supported by 14 paramedical and other staff. The table refers to Allopathic Doctors at PHCs. The requirement is based on norm of one per each existing PHC. Sanctioned and In-Position figures are as...", 
 "file_name": "Rural_Health_Assistants_and_Doctors_At_PHCs_2.xls", 
 "title": "Manpower at Primary Health Centres as on March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/Rural_Health_Assistants_and_Doctors_At_PHCs_2.xls"
}
-----
"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",1624.0,2424.0,2348.0,76.0,"NULL"
2.0,"Arunachal Pradesh",97.0,"NA",92.0,"NA",5.0
3.0,"Assam",938.0,"NA",1557.0,"NA","NULL"
4.0,"Bihar##",1863.0,2078.0,3532.0,"NULL","NULL"
5.0,"Chhattisgarh",741.0,1482.0,424.0,1058.0,317.0
6.0,"Goa",19.0,46.0,41.0,5.0,"NULL"
7.0,"Gujarat",1123.0,1123.0,778.0,345.0,345.0
8.0,"Haryana",444.0,651.0,530.0,121.0,"NULL"
9.0,"Himachal Pradesh",453.0,582.0,451.0,131.0,2.0
10.0,"Jammu & Kashmir",397.0,750.0,881.0,"NULL","NULL"
11.0,"Jharkhand",330.0,330.0,392.0,"NULL","NULL"
12.0,"Karnataka",2310.0,2310.0,2089.0,221.0,221.0
13.0,"Kerala",809.0,1204.0,1122.0,82.0,"NULL"
14.0,"Madhya Pradesh",1156.0,1238.0,814.0,424.0,342.0
15.0,"Maharashtra",1809.0,3618.0,2292.0,1326.0,"NULL"
16.0,"Manipur",80.0,240.0,192.0,48.0,"NULL"
17.0,"Meghalaya",109.0,127.0,104.0,23.0,5.0
18.0,"Mizoram##",57.0,57.0,37.0,20.0,20.0
19.0,"Nagaland",126.0,"NA",101.0,"NA",25.0
20.0,"Odisha",1228.0,725.0,525.0,200.0,703.0
21.0,"Punjab",446.0,487.0,487.0,0.0,"NULL"
22.0,"Rajasthan",1517.0,1478.0,1472.0,6.0,45.0
23.0,"Sikkim",24.0,48.0,39.0,9.0,"NULL"
24.0,"Tamil Nadu",1204.0,2326.0,1704.0,622.0,"NULL"
25.0,"Tripura",79.0,"NA",119.0,"NA","NULL"
26.0,"Uttarakhand",239.0,299.0,234.0,65.0,5.0
27.0,"Uttar Pradesh#",3692.0,4509.0,2861.0,1648.0,831.0
28.0,"West Bengal",909.0,1807.0,1006.0,801.0,"NULL"
29.0,"A& N Islands",19.0,40.0,28.0,12.0,"NULL"
30.0,"Chandigarh",0.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",6.0,6.0,6.0,0.0,0.0
32.0,"Daman & Diu",3.0,3.0,5.0,"NULL","NULL"
33.0,"Delhi##",8.0,22.0,19.0,3.0,"NULL"
34.0,"Lakshadweep",4.0,4.0,10.0,"NULL","NULL"
35.0,"Puducherry",24.0,37.0,37.0,0.0,"NULL"
36.0,"All India Total",23887.0,30051.0,26329.0,7246.0,2866.0
