-----
{
 "description": "This table shows number of accidents and number of persons receiving injuries in mines. The data are collected under the mines act. Accidents have been classified into fatal, and serious during 2000 to 2010.", 
 "file_name": "INDUSTRIAL_INJURIES_IN_MINES_1.XLS", 
 "title": "Industrial Injuries In Mines ", 
 "url": "http://data.gov.in/sites/default/files/INDUSTRIAL_INJURIES_IN_MINES_1.XLS"
}
-----
"Year"," No. of accidents Fatal"," No. of accidents Serious"," No. of Injuries Fatal"," No. of Injuries Serious","  Rate of Injuries per 1000  persons employed Fatal","  Rate of Injuries per 1000  persons employed Serious"
2000.0,168.0,848.0,199.0,901.0,0.31,1.41
2001.0,176.0,866.0,222.0,928.0,0.37,1.55
2002.0,133.0,834.0,161.0,874.0,0.28,1.56
2003.0,135.0,731.0,175.0,775.0,0.31,1.35
2004.0,146.0,1150.0,162.0,1195.0,0.29,2.1
2005.0,144.0,1214.0,169.0,1251.0,0.3,2.24
2006.0,136.0,939.0,208.0,979.0,0.38,1.8
2007.0,132.0,1002.0,142.0,1056.0,0.26,1.92
2008.0,134.0,769.0,166.0,829.0,0.3,1.51
2009.0,128.0,730.0,148.0,769.0,"NA","NA"
2010.0,159.0,540.0,222.0,578.0,"NA","NA"
