-----
{
 "description": "Investment and Consumption Expenditure as proportion of GDP at constant 2004-05 prices for Eleventh Plan (2007-12) and Twelfth Plan (2012-17) \u2013 (in per cent) ", 
 "file_name": "Table_2.2.xls", 
 "title": "Investment and Consumption Expenditure as proportion of GDP at constant 2004-05 prices ", 
 "url": "http://data.gov.in/sites/default/files/Table_2.2.xls"
}
-----
"No.","Component","2007-08","2008-09","2010-11","2011-12","2011-12","Average Eleventh Plan","2012-13","2013-14","2014-15","2015-16","2016-17","Average Twelfth Plan"
1.0,"Fixed Investment rate",33.7,33.5,33.3,34.3,33.7,33.7,33.0,33.9,34.4,34.5,35.0,34.2
2.0,"Public",8.2,8.8,8.6,8.1,7.8,8.3,8.0,8.4,8.4,8.5,8.5,8.4
3.0,"Private Corporate",15.0,11.3,11.3,12.8,11.6,12.4,11.3,12.5,14.0,14.5,15.0,13.5
4.0,"Household",10.5,13.5,13.4,13.4,14.3,13.0,13.5,13.0,12.0,11.5,11.5,12.3
5.0,"Stocks",4.1,1.9,3.0,3.5,2.3,3.0,2.3,2.9,3.1,3.1,3.1,2.9
6.0,"Valuables",1.1,1.4,2.0,2.4,2.4,1.8,2.2,1.9,1.6,1.6,1.6,1.8
7.0,"Gross Domestic Capital Formation (GDCF)",38.9,36.8,38.3,40.2,38.4,38.5,37.5,38.7,39.1,39.2,39.7,38.8
8.0,"Errors & Omissions",0.1,"–1.3",0.2,"–0.2",-0.5,-0.3,"","","","","",""
9.0,"Investment rate",39.0,35.6,38.4,40.0,37.9,38.2,37.5,38.7,39.1,39.2,39.7,38.8
10.0,"Private consumption exp",58.1,60.0,59.4,58.3,59.2,59.0,59.5,59.1,58.8,58.3,57.8,58.7
11.0,"Govt consumption exp",10.3,11.0,11.5,11.0,11.3,11.0,11.2,10.9,10.6,10.3,10.0,10.6
12.0,"Total consumption exp",68.5,71.0,70.9,69.4,70.5,70.0,70.6,70.0,69.4,68.6,67.8,69.3
