-----
{
 "description": "This table gives All India (1987 onwards) and State-wise (2009 and 2010) data in Sq.Kms. on forest cover estimates (first to twelveth cycle).", 
 "file_name": "FOREST_COVER_AREA_1.xls", 
 "title": "Forest Cover Estimates ", 
 "url": "http://data.gov.in/sites/default/files/FOREST_COVER_AREA_1.xls"
}
-----
"State","Year","Satellite and Sensor","Data Period","2009 Forest Cover","2010 Forest Cover"
"Andhra Pradesh","NA","NA","NA",63814.0,46389.0
"Arunachal Pradesh","NA","NA","NA",51540.0,67410.0
"Assam","NA","NA","NA",26832.0,27673.0
"Bihar","NA","NA","NA",6473.0,6845.0
"Chhatisgarh","NA","NA","NA",59772.0,55674.0
"Delhi","NA","NA","NA",85.0,176.0
"Goa","NA","NA","NA",1224.0,2219.0
"Gujarat","NA","NA","NA",18927.0,14619.0
"Haryana","NA","NA","NA",1559.0,1608.0
"Himachal Pradesh","NA","NA","NA",37033.0,14679.0
"Jammu & Kashmir","NA","NA","NA",20230.0,22539.0
"Jharkhand","NA","NA","NA",23605.0,22977.0
"Karnataka","NA","NA","NA",38284.0,36194.0
"Kerala","NA","NA","NA",11265.0,17300.0
"Madhya Pradesh","NA","NA","NA",94689.0,77700.0
"Maharashtra","NA","NA","NA",61939.0,50646.0
"Manipur","NA","NA","NA",17418.0,17090.0
"Meghalaya","NA","NA","NA",9496.0,17275.0
"Mizoram","NA","NA","NA",16717.0,19117.0
"Nagaland","NA","NA","NA",9222.0,13318.0
"Orissa","NA","NA","NA",58136.0,48903.0
"Punjab","NA","NA","NA",3058.0,1764.0
"Rajasthan","NA","NA","NA",32639.0,16087.0
"Sikkim","NA","NA","NA",5841.0,3359.0
"Tamil Nadu","NA","NA","NA",22877.0,23625.0
"Tripura","NA","NA","NA",6294.0,7977.0
"Uttar Pradesh","NA","NA","NA",16583.0,14338.0
"Uttarakhand","NA","NA","NA",34651.0,24496.0
"West Bengal","NA","NA","NA",11879.0,12995.0
"A. & N. Islands ","NA","NA","NA",7171.0,6724.0
"Chandigarh","NA","NA","NA",34.0,17.0
"Dadra & Nagar Haveli","NA","NA","NA",204.0,211.0
"Daman & Diu ","NA","NA","NA",8.0,6.0
"Lakshadweep","NA","NA","NA",0.0,27.0
"Puducherry","NA","NA","NA",13.0,50.0
"Total","","","",769512.0,692027.0
