-----
{
 "description": "This table shows department wise expenditure incurred on pay and allowances on civilian employees by the central ministries/departments.", 
 "file_name": "EXPENDITURE_INCURRED_ON_PAY_AND_ALLOWANCES_OF_CIVILIAN_EMPLOYEES_BY_THE_CENTRAL_MINISTRIES-DEPARTMENTS.xls", 
 "title": "Expenditure Incurred On Pay And Allowances On Civilian Employees By The Central Ministries/Departments ", 
 "url": "http://data.gov.in/sites/default/files/EXPENDITURE_INCURRED_ON_PAY_AND_ALLOWANCES_OF_CIVILIAN_EMPLOYEES_BY_THE_CENTRAL_MINISTRIES-DEPARTMENTS.xls"
}
-----
"Ministry/
Department","Pay* - 2009-10 (Crore)","Pay* - 2010-11 (Crore)","DA - 2009-10 (Crore)","DA - 2010-11 (Crore)","HRA - 2009-10 (Crore)","HRA - 2010-11 (Crore)","CCA - 2009-10 (Crore)","CCA - 2010-11 (Crore)","OTA - 2009-10 (Crore)","OTA - 2010-11 (Crore)","TPT - 2009-10 (Crore)","TPT - 2010-11 (Crore)","Others  - 2009-10 (Crore)","Others - 2010-11 (Crore)","Total - 2009-10 (Crore)","Total - 2010-11 (Crore)","Travel Allowance - 2009-10 (Crore)","Travel Allowance - 2010-11 (Crore)","Bonus - 2009-10 (Crore)","Bonus - 2010-11 (Crore)","Honararium - 2009-10 (Crore)","Honararium - 2010-11 (Crore)","Encashment of E.L. - 2009-10 (Crore)","Encashment of E.L. - 2010-11 (Crore)"
"Railways",23956.21,19095.27,4660.73,7829.07,2024.94,2196.06,"NA","NA",406.1,633.49,1314.84,1701.0,2250.36,2125.52,34613.18,33580.41,1022.7,1050.01,1048.24,972.85,24.3,36.46,593.85,527.16
"Home Affairs",11250.72,10236.7,2228.64,4308.48,428.88,471.65,"NA","NA",0.98,0.56,502.24,615.32,2402.39,2176.45,16813.85,17809.16,647.88,871.83,193.29,181.69,3.57,2.88,132.29,175.34
"Defence (Civilian)",8293.19,6748.01,1646.11,2581.68,918.76,937.92,"NA","NA",383.43,493.78,562.89,628.61,551.45,737.94,12355.83,12127.92,218.61,285.12,118.97,112.79,11.49,2.7,131.0,124.47
"Posts #",5041.85,3879.93,962.99,1436.44,496.25,571.69,"NA","NA",36.55,25.83,265.22,349.57,241.63,554.35,7044.49,6817.81,45.76,58.49,217.12,174.04,7.79,8.5,164.17,179.64
"Finance",3034.75,2438.38,577.8,1011.73,374.31,359.86,"NA","NA",13.07,6.9,191.72,196.59,191.87,212.7,4383.52,4226.16,91.51,104.31,24.26,18.54,6.37,3.25,76.8,74.58
"Indian Audit & Accounts",1441.52,1044.15,268.69,435.86,192.45,187.91,"NA","NA",0.13,0.14,89.14,97.24,68.63,93.57,2060.56,1858.87,95.96,109.85,13.3,9.48,3.06,2.99,41.19,56.17
"Atomic Energy",1062.5,852.02,212.5,332.98,87.08,74.58,"NA","NA",29.71,27.25,57.05,69.52,364.34,353.83,1813.18,1710.18,30.59,33.25,6.69,2.98,0.83,1.07,30.09,35.29
"Health & Family Welfare",757.41,632.57,150.05,230.19,107.06,104.99,"NA","NA",0.79,0.51,59.68,65.11,117.62,91.71,1193.15,1125.08,13.58,13.66,6.39,6.56,0.34,1.05,16.05,19.24
"Urban Development @",592.52,434.63,112.58,179.01,43.66,56.57,"NA","NA",0.4,1.39,23.51,45.5,29.62,77.51,802.29,794.61,9.5,8.48,2.76,3.31,1.28,8.16,2.37,29.73
"Space",634.42,479.07,150.51,189.94,66.31,71.6,"NA","NA",1.07,0.89,25.86,29.52,159.96,162.45,1038.13,933.47,31.65,35.92,1.38,1.38,0.1,0.33,21.08,28.54
