-----
{
 "description": "This table gives All India (from 2001 to 2011) and State-wise (2010-11) number of dispensaries - Ayurveda, Unani, Siddha, Naturopathy, Homoeopathy, Yoga, Sowa-Rigpa under AYUSH Systems as on 1st April.", 
 "file_name": "Dispensaries_Under_Ayush_Systems_As_On_1stApril.xls", 
 "title": "Dispensaries Under Ayush Systems As On 1st April ", 
 "url": "http://data.gov.in/sites/default/files/Dispensaries_Under_Ayush_Systems_As_On_1stApril.xls"
}
-----
"Year/States","Ayurveda","Unani","Siddha","Yoga","Naturopathy","Homoeopathy","Sowa-Rigpa (Amchi)","Total"
2001.0,13939.0,958.0,352.0,65.0,56.0,5185.0,72.0,20627.0
2002.0,13801.0,945.0,347.0,63.0,49.0,4952.0,72.0,20229.0
2003.0,13991.0,881.0,399.0,70.0,52.0,5454.0,126.0,20973.0
2004.0,14028.0,951.0,424.0,70.0,51.0,5584.0,126.0,21234.0
2005.0,13778.0,971.0,444.0,71.0,52.0,5690.0,126.0,21132.0
2006.0,13890.0,1010.0,463.0,46.0,41.0,5859.0,126.0,21435.0
2007.0,13913.0,1019.0,488.0,45.0,42.0,5910.0,131.0,21548.0
2008.0,13989.0,1028.0,529.0,45.0,49.0,6030.0,131.0,21801.0
2009.0,14727.0,1128.0,531.0,57.0,96.0,6844.0,131.0,23514.0
2010.0,15353.0,1146.0,541.0,59.0,97.0,6958.0,135.0,24289.0
2011.0,15017.0,1021.0,821.0,140.0,97.0,7049.0,135.0,24146.0
