-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on motives of murder and culpable homicide not amounting to murder.", 
 "file_name": "MOTIVES_OF_MURDER_AND_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER.xls", 
 "title": "All India And State-wise Motives Of Murder And Culpable Homicide Not Amounting To Murder ", 
 "url": "http://data.gov.in/sites/default/files/MOTIVES_OF_MURDER_AND_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER.xls"
}
-----
"State","Year","Murder - Gain","Culpable homicide - Gain","Murder - Property Dispute","Culpable homicide - Property Dispute","Murder - Personal Vendetta or Enmity","Culpable homicide - Personal Vendetta or Enmity","Murder - Love Affairs/Sexual Causes","Culpable homicide - Love Affairs/Sexual Causes","Murder - Dowry","Culpable homicide - Dowry","Murder - Lunacy","Culpable homicide - Lunacy","Murder - Other Motives","Culpable homicide - Other Motives","Murder - Total","Culpable homicide - Total"
"Andhra Pradesh",2009.0,184.0,0.0,168.0,5.0,258.0,7.0,415.0,2.0,116.0,0.0,3.0,0.0,1305.0,120.0,2449.0,134.0
"Arunachal Pradesh",2009.0,2.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,59.0,5.0
"Assam",2009.0,89.0,5.0,173.0,5.0,77.0,1.0,74.0,1.0,138.0,0.0,0.0,0.0,772.0,23.0,1323.0,35.0
"Bihar",2009.0,311.0,9.0,836.0,59.0,443.0,20.0,145.0,3.0,134.0,11.0,0.0,0.0,1283.0,141.0,3152.0,243.0
"Chhattisgarh",2009.0,44.0,0.0,74.0,1.0,104.0,0.0,75.0,0.0,8.0,0.0,10.0,0.0,768.0,18.0,1083.0,19.0
"Goa",2009.0,21.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,53.0,11.0
"Gujarat",2009.0,66.0,1.0,83.0,0.0,136.0,0.0,154.0,0.0,6.0,1.0,12.0,0.0,563.0,28.0,1020.0,30.0
"Haryana",2009.0,61.0,3.0,213.0,10.0,198.0,7.0,53.0,2.0,11.0,0.0,0.0,0.0,412.0,56.0,948.0,78.0
"Himachal Pradesh",2009.0,4.0,0.0,7.0,1.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,94.0,12.0,125.0,13.0
"Jammu & Kashmir",2009.0,5.0,0.0,13.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,206.0,22.0,237.0,23.0
"Jharkhand",2009.0,188.0,0.0,239.0,4.0,130.0,0.0,114.0,2.0,53.0,0.0,0.0,2.0,912.0,96.0,1636.0,104.0
"Karnataka",2009.0,102.0,2.0,59.0,0.0,191.0,0.0,106.0,0.0,65.0,0.0,0.0,0.0,1179.0,77.0,1702.0,79.0
"Kerala",2009.0,16.0,0.0,10.0,0.0,94.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,221.0,97.0,343.0,100.0
"Madhya Pradesh",2009.0,159.0,3.0,357.0,3.0,467.0,0.0,216.0,0.0,55.0,0.0,5.0,0.0,1127.0,111.0,2386.0,117.0
"Maharashtra",2009.0,79.0,0.0,162.0,2.0,178.0,2.0,263.0,2.0,102.0,2.0,5.0,0.0,1864.0,90.0,2653.0,98.0
"Manipur",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,2.0,131.0,2.0
"Meghalaya",2009.0,17.0,0.0,15.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,82.0,10.0,128.0,12.0
"Mizoram",2009.0,8.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,31.0,8.0
"Nagaland",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,46.0,7.0
"Orissa",2009.0,36.0,0.0,70.0,0.0,150.0,5.0,58.0,0.0,269.0,1.0,0.0,0.0,667.0,42.0,1250.0,48.0
"Punjab",2009.0,18.0,3.0,70.0,2.0,51.0,1.0,128.0,2.0,11.0,0.0,0.0,0.0,575.0,121.0,853.0,129.0
"Rajasthan",2009.0,35.0,1.0,59.0,0.0,111.0,1.0,59.0,1.0,35.0,6.0,0.0,0.0,1096.0,71.0,1395.0,80.0
"Sikkim",2009.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,19.0,3.0
"Tamil Nadu",2009.0,123.0,0.0,124.0,0.0,307.0,0.0,231.0,0.0,14.0,0.0,0.0,0.0,977.0,26.0,1776.0,26.0
"Tripura",2009.0,12.0,0.0,19.0,0.0,58.0,0.0,18.0,0.0,19.0,0.0,0.0,0.0,7.0,2.0,133.0,2.0
"Uttar Pradesh",2009.0,168.0,2.0,108.0,6.0,258.0,5.0,314.0,2.0,0.0,0.0,1.0,0.0,3685.0,1424.0,4534.0,1439.0
"Uttarakhand",2009.0,6.0,1.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,176.0,50.0,195.0,51.0
"WestBengal",2009.0,50.0,16.0,34.0,21.0,106.0,26.0,25.0,6.0,223.0,4.0,0.0,0.0,1630.0,858.0,2068.0,931.0
"A. & N.Islands",2009.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,15.0,4.0
"Chandigarh",2009.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,22.0,8.0
"D. & N.Haveli",2009.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,10.0,1.0
"Daman and Diu",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0
"Delhi",2009.0,32.0,1.0,33.0,2.0,81.0,6.0,62.0,2.0,6.0,0.0,0.0,0.0,338.0,73.0,552.0,84.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,2.0,0.0,2.0,0.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,37.0,5.0
"Andhra Pradesh",2010.0,219.0,0.0,180.0,5.0,282.0,8.0,375.0,0.0,128.0,0.0,3.0,0.0,1341.0,142.0,2528.0,155.0
"Arunachal Pradesh",2010.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,75.0,3.0
"Assam",2010.0,24.0,1.0,119.0,10.0,50.0,1.0,21.0,1.0,43.0,0.0,1.0,0.0,965.0,33.0,1223.0,46.0
"Bihar",2010.0,352.0,47.0,916.0,97.0,441.0,30.0,187.0,35.0,168.0,11.0,5.0,0.0,1293.0,124.0,3362.0,344.0
"Chhattisgarh",2010.0,26.0,0.0,66.0,1.0,66.0,1.0,72.0,1.0,19.0,1.0,2.0,0.0,814.0,26.0,1065.0,30.0
"Goa",2010.0,3.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,35.0,3.0
"Gujarat",2010.0,66.0,2.0,90.0,0.0,118.0,0.0,131.0,1.0,3.0,1.0,8.0,0.0,632.0,40.0,1048.0,44.0
"Haryana",2010.0,40.0,2.0,241.0,8.0,215.0,5.0,42.0,2.0,17.0,0.0,1.0,0.0,449.0,46.0,1005.0,63.0
"Himachal Pradesh",2010.0,3.0,0.0,12.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,102.0,11.0,132.0,12.0
"Jammu & Kashmir",2010.0,1.0,0.0,20.0,0.0,9.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,177.0,26.0,217.0,26.0
"Jharkhand",2010.0,154.0,0.0,259.0,7.0,146.0,5.0,105.0,7.0,36.0,0.0,1.0,0.0,988.0,63.0,1689.0,82.0
"Karnataka",2010.0,71.0,0.0,71.0,0.0,118.0,4.0,99.0,1.0,67.0,0.0,0.0,0.0,1379.0,89.0,1805.0,94.0
"Kerala",2010.0,25.0,0.0,10.0,0.0,103.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,218.0,83.0,363.0,86.0
"Madhya Pradesh",2010.0,81.0,1.0,342.0,0.0,492.0,0.0,175.0,1.0,44.0,0.0,3.0,0.0,1286.0,121.0,2423.0,123.0
"Maharashtra",2010.0,69.0,0.0,140.0,2.0,169.0,0.0,236.0,1.0,116.0,0.0,6.0,0.0,2008.0,149.0,2744.0,152.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,92.0,1.0
"Meghalaya",2010.0,23.0,0.0,11.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,8.0,134.0,8.0
"Mizoram",2010.0,4.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,48.0,7.0
"Nagaland",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,13.0,45.0,13.0
"Orissa",2010.0,48.0,0.0,51.0,0.0,140.0,4.0,66.0,0.0,309.0,0.0,0.0,0.0,694.0,27.0,1308.0,31.0
