-----
{
 "description": "The Sub Divisional and District Hospitals are government hospitals with more than 30 beds. Mobile Medical Units have been envisaged under National Rural Health Mission (NRHM) to provide preventive, promotive and curative health care in inaccessible areas and difficult terrains, which are...", 
 "file_name": "No_Of_Sub_Div_Hosp_District_Hosp_Mobile_Medical_Units_Functioning_1.csv", 
 "title": "Sub Divisional Hospitals, District Hospitals and Mobile Medical Units Functioning as on March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/No_Of_Sub_Div_Hosp_District_Hosp_Mobile_Medical_Units_Functioning_1.csv"
}
-----
S. No.,State/UT,Sub Divisional Hospital (SDH),District Hospital (DH),Mobile Medical Units (MMU)
1,Andhra Pradesh1,58,17,475
2,Arunachal Pradesh,0,14,16
3,Assam,13,24,27
4,Bihar,40,36,48
5,Chhattisgarh,17,17,0
6,Goa,0,2,4
7,Gujarat,26,24,88
8,Haryana,25,21,6
9,Himachal Pradesh,36,12,1
10,Jammu & Kashmir+,0,22,13
11,Jharkhand,10,21,100
12,Karnataka1,146,31,28
13,Kerala2,43,14,14
14,Madhya Pradesh1,56,50,91
15,Maharashtra,81,23,2
16,Manipur1,1,7,18
17,Meghalaya,1,10,7
18,Mizoram,2,8,9
19,Nagaland,0,11,11
20,Odisha,26,32,240
21,Punjab,35,20,24
22,Rajasthan,12,34,32
23,Sikkim,0,4,4
24,Tamil Nadu,231,30,385
25,Tripura,11,2,4
26,Uttarakhand,20,18,30
27,Uttar Pradesh3,0,72,133
28,West Bengal1,45,16,7
29,Andaman & Nicobar Islands,0,3,0
30,Chandigarh,NA,1,2
31,Dadra & Nagar Haveli,NA,1,1
32,Daman & Diu,0,2,1
33,Delhi2,49,9,0
34,Lakshadweep,1,1,0
35,Puducherry2,NA,4,4
36,All India Total,985,613,"1,825"
