-----
{
 "description": "This table provides All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Plantations such as Cashewnut, Arecanut, Cocoa, and Coconut.", 
 "file_name": "AREA_AND_PRODUCTION_OF_PLANTATIONS.xls", 
 "title": "All India and State Wise Area and Production of Plantations ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_PLANTATIONS.xls"
}
-----
"State/Union Territory","Cashewnut 2009-10 Area (in '000 Hectare)","Cashewnut 2010-11 Area (in '000 Hectare)","Cashewnut 2009-10 Production (in '000 Tonne)","Cashewnut 2010-11 Production (in '000 Tonne)","Arecanut 2009-10 Area (in '000 Hectare)","Arecanut 2010-11 Area (in '000 Hectare)","Arecanut 2009-10 Production (in '000 Tonne)","Arecanut 2010-11 Production (in '000 Tonne)","Cocoa 2009-10 Area (in '000 Hectare)","Cocoa 2010-11 Area (in '000 Hectare)","Cocoa 2009-10 Production (in '000 Tonne)","Cocoa 2010-11 Production (in '000 Tonne)","Coconut 2009-10 Area (in '000 Hectare)","Coconut 2010-11 Area (in '000 Hectare)","Coconut 2009-10 Production (in '000 Tonne)","Coconut 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Andhra Pradesh",183.0,183.0,99.0,107.0,0.25,0.3,0.19,0.2,17.0,17.5,2.7,3.0,104.0,104.0,667.0,667.0,304.25,304.8,768.89,777.2
" Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Assam","NA","NA","NA","NA",69.97,70.0,62.7,62.7,"NA","NA","NA","NA",18.8,18.8,"NA",101.0,88.77,88.8,62.7,163.7
" Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Chhattisgarh",33.0,33.0,17.0,19.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.7,"NA",6.3,33.0,33.7,17.0,25.3
" Goa",55.0,56.0,26.0,24.0,1.85,1.9,2.78,2.8,"NA","NA","NA","NA",25.6,25.6,"NA",88.0,82.45,83.5,28.78,114.8
" Gujarat","NA",7.1,"NA",21.3,"NA","NA","NA","NA","NA","NA","NA","NA",16.0,16.0,"NA",108.0,16.0,23.1,"NA",129.3
" Haryana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
