"Name of Agency","Address","Phone","Fax","Email","Region","City","State","Contact Person","TYPE"
"M/S. CLUBSIDE TOURS & TRAVELS PVT. LTD.","""J. P. Sharma Road,Darjeeling""","""0354 - 2254 646, 0354 - 2254 647","0354 - 2254 123","tours@clubside.in","East","DARJEELING","West Bengal","MR. SURESH PERIWAL","Adventure Tour Operator"
"M/S. SNOWLAND HOLIDAYS PVT. LTD.","""p.o. Box, No. 8, Manali, Distt . Kullu""","""01902 - 252248, 01902 - 236185""","NA","NA","North","KULLU","Himachal Pradesh","MR. IRVINDER SINGH","Adventure Tour Operator"
"M/S. NALS OUTDOORS INDIA PRIVATE LIMITED","""NALS Camp Office, Tharbus Cottage,,V.P.O Kalth, Tehsil Manali, Dst. Kullu (BO)""","01902 - 258 877","NA","enquiry@nals.in","North","KULLU","Himachal Pradesh","MS. SESHADRI VENKATESAN","Adventure Tour Operator"
"M/S. WONDERLAND TREKS & TOURS PVT. LTD.","""Bloomfields, Village - Bashing,Post Office - Babeli, Kullu,""","""01902-201 413, 01902-204 413""","01902 -66173413","info@wonderland-india.com","North","KULLU","Himachal Pradesh","MR. MAHIR MAKOL","Adventure Tour Operator"
"M/S HIMALAYAN RUN & TREK PVT. LTD","""T-5, Manish Chamber, Plot No. 6, L.S.C.,Block -B, Mayur Vihar Phase - 2""","011-2277 2700","011-2277 2800","hrtpl@del2.vsnl.net.in","North","DELHI","Delhi","MR. C.S.PANDEY","Adventure Tour Operator"
"M/S INDIA INSIGHT TOURS PRIVATE LIMITED","""98 - P, Sector - 30, (Basement & Ground Floor)""","""0124-2380 498, 0124-2366 553""","0124-2383 953","info@indiainsighttours.com","North","GURGAON","Haryana","MS. EKTA SHARMA","Adventure Tour Operator"
"M/S. SNOW LEOPARD TRAILS INDIA PRIVATE LIMITED","""Hotel Kang - Lha - Chhen Complex,P.O.Box No. 46,Leh, Ladakh""","""01982 - 252 188, 01982 - 252 074""","01982 - 252 355","leopard@nda.vsnl.net.in","North","LEH","Jammu & Kashmir","MR. T. WANGCHUK KALON","Adventure Tour Operator"
"M/S SNOW LEOPARD ADVENTURES (P). LTD.","""9174, Sector C - 9,,Vasant Kunj""","""011-2689 8654, 011-2689 1473""","011-2689 5905","delhi@slapl.com","North","NEW DELHI","Delhi","MRS SATYA BAJAJ","Adventure Tour Operator"
"M/S HOLIDAY MOODS ADVENTURES PRIVATE LIMITED","""3/6, Desh Bandhu Gupta Road,,Pahar Ganj""","011 - 4300 0800","NA","sales@holidaymoods.net","North","NEW DELHI","Delhi","MR. TEJBIR SINGH ANAND","Adventure Tour Operator"
"M/S SHIKHAR TRAVELS (INDIA) PVT LTD.","""209, Competent House, F-14, Middle Circle,Connaught Place""","011-4717 1000","011-2332 3660","india@shikhar.com","North","NEW DELHI","Delhi","CAPT. SWADESH KUMAR","Adventure Tour Operator"
