"No.","Sector","2007-08","2008-09","2009-10","2010-11","2011-12","Average Eleventh Plan","2012--13","2013-14","2014-15","2015-16","2016-17","Average Twelfth Plan"
1.0,"Agriculture, forestry and fishing",5.8,0.1,0.8,7.9,3.6,3.7,2.0,4.5,4.5,4.5,4.5,4.0
2.0,"Mining and quarrying",3.7,2.1,5.9,4.9,-0.6,3.2,1.0,5.0,7.0,7.0,8.5,5.7
3.0,"Manufacturing",10.3,4.3,11.3,9.7,2.7,7.7,2.2,6.0,8.5,9.5,9.5,7.14
4.0,"Electricity, gas and water supply",8.3,4.6,6.2,5.2,6.5,6.1,5.2,7.5,8.0,8.0,8.0,7.34
5.0,"Construction",10.8,5.3,6.7,10.2,5.6,7.7,8.0,8.0,8.5,10.0,11.0,9.1
6.0,"Trade, hotels and restaurant",10.1,5.7,7.9,11.5,6.2,8.3,5.5,6.0,8.0,8.7,8.7,7.4
7.0,"Transport, storage and communication",12.5,10.8,14.8,13.8,8.4,12.0,7.3,11.1,13.0,13.6,14.1,11.8
"7a","Trade, hotels and restaurants and Transport, storage and communication",10.9,7.5,10.4,12.3,7.0,9.6,6.2,8.0,10.0,10.7,11.0,9.18
8.0,"Financing, insurance, real estate and business services",12.0,12.0,9.7,10.1,11.7,11.1,9.8,9.5,10.0,10.0,10.0,9.86
9.0,"Community, social and personal services",6.9,12.5,11.7,4.3,6.0,8.3,7.3,7.2,7.2,7.2,7.2,7.22
10.0,"Total GDP",9.3,6.7,8.6,9.3,6.2,8.0,5.7877030565,7.32995421806,8.46683796531,8.96656597981,9.20064537577,7.95034131909
11.0,"Industry (2–5)",9.7,4.4,9.2,9.2,3.5,7.2,3.97368204323,6.62501366466,8.35738236708,9.36891103929,9.78188858574,7.62137554
12.0,"Services (6–9)",10.3,10.0,10.5,9.8,8.2,9.7,7.55727708268,8.29925609084,9.39268659298,9.73091784453,9.88849748637,8.97372701948
