-----
{
 "description": "This table relates to compensated injuries under the workmens compensation act. Under the act, Compensation is payable to workers employed in scheduled employment for injuries due to accident resulting in death or disablement for more than three days provided that it is not caused through the fault...", 
 "file_name": "WORKMENS_COMPENSATION.xls", 
 "title": "Workmens Compensation ", 
 "url": "http://data.gov.in/sites/default/files/WORKMENS_COMPENSATION.xls"
}
-----
"Year","Number of compensated injuries Death","Number of compensated injuries Disability - Permanent","Number of compensated injuries Disability - Temporary","Number of compensated injuries     Total","Number of compensated injuries    Death","Amount of compensation paid Disability - Permanent","Amount of compensation paid Disability - Temporary","Amount of compensation paid Total"
2000.0,1377.0,1507.0,4765.0,7649.0,193004.0,104783.0,32016.0,329802.0
2001.0,1346.0,1520.0,4381.0,7247.0,221595.0,126183.0,32923.0,380701.0
2002.0,1501.0,1592.0,3649.0,6742.0,289912.0,150620.0,28297.0,468829.0
2003.0,1663.0,1912.0,4136.0,7706.0,371091.0,222800.0,45075.0,644964.0
2004.0,1581.0,1662.0,3507.0,6750.0,328612.0,127335.0,23599.0,479546.0
2005.0,1780.0,1522.0,2814.0,6116.0,380510.0,187074.0,49922.0,617506.0
2006.0,1514.0,1836.0,2425.0,5775.0,576160.0,249384.0,31319.0,856863.0
2007.0,1670.0,1144.0,2792.0,5606.0,376790.0,104336.0,80554.0,561680.0
2008.0,1344.0,982.0,2697.0,5023.0,432705.0,141225.0,40780.0,614710.0
"2009 (P)",871.0,498.0,2343.0,3712.0,244983.0,55550.0,15985.0,316518.0
