"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Arunachal Pradesh","Flood Control & Irrigation","Anti erosion works on kley river under Lower subansiri District.","NLCPR","26/09/2002","731.00","692.82","692.82","307.62","27/03/2006","31/03/2004","31/03/2008"
"Arunachal Pradesh","Flood Control & Irrigation","Flood Control & Anti Erosion Works (6 Nos)","NLCPR","28/03/2000","1130.00","1130.00","1130.00","365.00","28/06/2001","31/03/2002","12/06/2004"
"Arunachal Pradesh","Flood Control & Irrigation","Treatment of Aba river basin at Old Abali village in Dibang District.","NLCPR","23/09/2002","298.00","298.00","298.00","198.00","15/07/2004","31/03/2004","28/02/2006"
"Arunachal Pradesh","Flood Control & Irrigation","Flood Control & Anti Erosion Works (8 Nos)","NLCPR","06/07/2000","4633.00","4632.00","4632.00","997.00","30/01/2003","31/03/2002","12/06/2004"
"Arunachal Pradesh","Education","Establishment of VKV at Ramsing, Upper Siang District","NLCPR","08/03/2011","344.54","123.72","0.00","123.72","09/03/2011","28/02/2013",""
"Arunachal Pradesh","Education","Construction of 200 seated Girls Hostel at J.N. College, Pasighat","NLCPR","18/10/2005","515.11","450.10","450.10","130.26","20/03/2009","31/10/2007",""
"Arunachal Pradesh","Education","Infrastructure Development of the School (Construction of JNK School Building) run by Arunachal Welfare and Education Society located at Itanagar, Arunachal Pradesh","NLCPR","20/12/2007","310.01","97.65","97.65","97.65","26/12/2007","31/12/2009",""
"Arunachal Pradesh","Education","Reconstruction of Govt. Higher Secondary School at Anini","NLCPR","23/12/2005","302.29","264.14","264.14","68.92","03/02/2009","23/12/2008",""
"Arunachal Pradesh","Education","Financial assistance for commpletion of 532 incomplete school buildings, teachers quartes & Hostels.","NLCPR","15/11/2001","1448.00","554.00","554.00","554.00","28/12/2001","31/03/2003","05/12/2006"
"Arunachal Pradesh","Education","Rama Krishna Sarda Mission Girls School, Khonsa, Narottam Nagar, Tirap District.","NLCPR","10/09/2001","300.00","300.00","300.00","300.00","10/09/2001","08/06/2004","08/06/2004"
"Arunachal Pradesh","Education","Infrastructural Development of VKV Nyapin","NLCPR","27/06/2011","343.55","122.65","0.00","122.65","28/06/2011","30/06/2013",""
"Arunachal Pradesh","Education","Construction of Academic Block of Arunachal Pali Vidyapith, Chokham, Phase-II","NLCPR","29/09/2004","81.00","81.00","81.00","81.00","29/09/2004","30/09/2005","10/01/2007"
"Arunachal Pradesh","Education","Establishment of VKV at Changlang, Changlang District","NLCPR","23/09/2011","501.55","177.55","0.00","177.55","26/09/2011","30/09/2013",""
"Arunachal Pradesh","Education","Infrastructure Development of Vivekananda Kendra Vidyalaya (VKV) at Dado","NLCPR","07/02/2011","710.01","255.13","255.13","255.13","11/02/2011","31/12/2013",""
