"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh#",1624.0,2162.0,1920.0,242.0,"NULL"
2.0,"Arunachal Pradesh",97.0,"NA",78.0,"NA",19.0
3.0,"Assam",938.0,"NA","NA","NA","NA"
4.0,"Bihar##",1863.0,649.0,556.0,93.0,1307.0
5.0,"Chhattisgarh",741.0,746.0,153.0,593.0,588.0
6.0,"Goa",19.0,0.0,0.0,0.0,19.0
7.0,"Gujarat",1123.0,1084.0,758.0,326.0,365.0
8.0,"Haryana",444.0,171.0,130.0,41.0,314.0
9.0,"Himachal Pradesh",453.0,413.0,269.0,144.0,184.0
10.0,"Jammu & Kashmir",397.0,"NA",90.0,"NA",307.0
11.0,"Jharkhand#",330.0,"NA",570.0,"NA","NULL"
12.0,"Karnataka",2310.0,2310.0,823.0,1487.0,1487.0
13.0,"Kerala",809.0,809.0,633.0,176.0,176.0
14.0,"Madhya Pradesh ",1156.0,305.0,140.0,165.0,1016.0
15.0,"Maharashtra",1809.0,4600.0,2360.0,2240.0,"NULL"
16.0,"Manipur",80.0,73.0,73.0,0.0,7.0
17.0,"Meghalaya",109.0,102.0,69.0,33.0,40.0
18.0,"Mizoram##",57.0,57.0,9.0,48.0,48.0
19.0,"Nagaland#",126.0,15.0,15.0,0.0,111.0
20.0,"Odisha",1228.0,"NA",0.0,"NA",1228.0
21.0,"Punjab",446.0,441.0,236.0,205.0,210.0
22.0,"Rajasthan",1517.0,252.0,201.0,51.0,1316.0
23.0,"Sikkim##",24.0,30.0,13.0,17.0,11.0
24.0,"Tamil Nadu",1204.0,2804.0,1899.0,905.0,"NULL"
25.0,"Tripura",79.0,"NA",18.0,"NA",61.0
26.0,"Uttarakhand",239.0,165.0,84.0,81.0,155.0
27.0,"Uttar Pradesh#",3692.0,5757.0,4518.0,1239.0,"NULL"
28.0,"West Bengal",909.0,0.0,0.0,0.0,909.0
29.0,"A& N Islands",19.0,0.0,0.0,0.0,19.0
30.0,"Chandigarh  ",0.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",6.0,0.0,0.0,0.0,6.0
32.0,"Daman & Diu",3.0,2.0,2.0,0.0,1.0
33.0,"Delhi##",8.0,4.0,0.0,4.0,8.0
34.0,"Lakshadweep##",4.0,0.0,0.0,0.0,4.0
35.0,"Puducherry",24.0,13.0,5.0,8.0,19.0
36.0,"All India Total",23887.0,22964.0,15622.0,8098.0,9935.0
