"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Arunachal-Pradesh-Approved-Outlay","Assam-Approved-Outlay","Bihar-Approved-Outlay","Chhatisgarh-Approved-Outlay","Goa-Approved-Outlay","Gujarat-Approved-Outlay","Haryana-Approved-Outlay","Himachal-pradesh-Approved-Outlay","Jammu-Kashmir-Approved-Outlay","Jharkhand-Approved-Outlay","Karnataka-Approved-Outlay","Kerala-Approved-Outlay","MP-Approved-Outlay","Maharashtra-Approved-Outlay","Manipur-Approved-Outlay","Meghalaya-Approved-Outlay","Mizoram-Approved-Outlay","Nagaland-Approved-Outlay","Orissa-Approved-Outlay","Punjab-Approved-Outlay","Rajasthan-Approved-Outlay","Sikkim-Approved-Outlay","TamilNadu-Approved-Outlay","Tripura-Approved-Outlay","UP-Approved-Outlay","Uttrakhand-Approved-Outlay","WB-Approved-Outlay","Total-States-Approved-Outlay","AandN-Islands-Approved-Outlay","Chandigarh-Approved-Outlay","DandN-Haveli-Approved-Outlay","DandDiu-Approved-Outlay","Delhi-Approved-Outlay","Lakshadweep-Approved-Outlay","Puducherry-Approved-Outlay","Total-UTs-Approved-Outlay","Total-States-UTs-Approved-Outlay"
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",147073.04,4059.0,50960.6,79893.18,54752.0,5219.98,99259.72,34000.0,8442.0,3288.11,10996.0,164123.0,13661.0,80137.9,116175.69,1000.0,2700.0,15419.76,6200.0,43132.0,29936.9,85945.45,1654.49,73276.0,12964.48,144489.0,28479.01,25125.0,1342363.31,1730.0,5.0,438.0,426.0,0.0,800.0,3300.3,6699.3,1349062.61
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,1150.0,648.0,2100.0,16120.0,769.92,11200.0,2450.0,1467.0,647.82,1550.0,50854.0,0.0,14778.64,18493.63,4530.0,3500.0,2348.94,1377.0,2703.0,0.0,9000.0,893.34,0.0,1163.77,2850.0,0.0,5554.0,156149.06,0.0,0.0,0.0,3.0,0.0,0.0,3708.0,3711.0,159860.06
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,978.0,1205.0,450.0,0.0,901.6,33964.0,1485.0,5347.0,727.5,1343.0,16376.0,3710.0,975.0,55185.48,1058.0,11100.0,2886.54,1855.0,2884.0,3386.0,19.15,53.84,17560.0,53.72,53109.0,12165.0,1792.0,230569.83,1123.0,0.0,235.0,602.0,0.0,0.0,0.0,1960.0,232529.83
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",6437.02,1403.39,4035.0,9479.75,13877.0,1833.81,25240.73,7000.0,2823.0,3140.9,3600.0,32711.0,19093.0,17290.13,21093.62,925.0,3000.0,8914.4,3032.0,6138.0,4478.0,5212.06,813.56,26630.0,1235.81,6060.0,3171.91,11848.0,250517.09,1673.0,28.0,85.0,220.0,0.0,800.0,3000.0,5806.0,256323.09
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,120.0,1583.45,4900.0,0.0,1453.0,8350.0,0.0,50.0,0.0,4048.0,28800.0,2600.0,0.0,723.2,50.0,750.0,50.0,53.0,500.0,1276.0,0.01,66.5,3693.0,1.16,2802.0,943.62,350.0,63162.94,0.0,0.0,200.0,41.0,0.0,0.0,300.0,541.0,63703.94
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",1140.5,429.0,4304.0,5586.0,2841.0,2513.25,5729.81,720.0,331.0,1127.0,2550.0,16949.0,12266.0,1882.12,10871.7,985.0,800.0,1395.0,760.0,2958.0,482.76,49.2,200.0,25539.0,796.44,924.0,501.12,13172.0,117802.9,1022.0,3.0,0.0,208.0,0.0,1050.0,3600.0,5883.0,123685.9
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,0.0,0.0,0.0,43373.0,0.0,0.0,550.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.19,0.0,0.0,429.7,44821.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44821.89
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,575.0,6500.0,5733.0,0.0,2300.0,0.0,0.0,130.0,0.0,1500.0,50.0,0.0,22428.05,4.0,120.0,0.0,850.0,0.0,0.0,390.0,0.0,11219.0,27.95,0.0,0.0,2403.24,54230.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54230.24
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",45100.0,50.0,6725.0,5500.0,2135.0,45.19,20000.0,14500.0,9387.0,3039.2,6000.0,13500.0,4725.0,4600.0,5239.64,20.0,100.0,20.0,263.0,874.0,3000.0,1276.23,0.0,18477.0,17.19,25610.0,3000.0,1582.0,194785.45,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,1560.0,196345.45
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,100.0,650.03,0.0,0.0,0.0,0.0,0.0,2500.0,3675.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3675.04
