"Group/ Class","Permanent / Temporary","Total No. of Employees","SC","Percentage of Total Employees ","ST","Percentage of Total Employees "
"GROUP A","Permanent Other than lowest rung of Class – I",116.0,17.0,14.66,6.0,5.17
"GROUP A","Permanent Lowest rung of Class – I",30.0,3.0,10.0,1.0,3.33
"GROUP A","Temporary Other than lowest rung of Class – I","NA","NA","NA","NA","NA"
"GROUP A","Temporary Lowest rung of Class I","NA","NA","NA","NA","NA"
"GROUP B","Permanent ",50.0,7.0,14.0,1.0,2.0
"GROUP B Gazetted","Temporary","NA","NA","NA","NA","NA"
"GROUP B","Permanent",129.0,20.0,15.5,8.0,6.2
"GROUP B ","Temporary",8.0,1.0,12.5,1.0,12.5
"GROUP B Non Gazetted","Permanent",135.0,45.0,33.33,7.0,5.19
"GROUP C","Temporary",13.0,2.0,15.38,1.0,7.69
"MultiNA Tasking Staff Group C","Permanent",70.0,40.0,57.14,6.0,8.57
"Erstwhile Group D","Temporary",19.0,2.0,10.53,1.0,5.26
"Total","",570.0,137.0,24.04,32.0,5.61
