"Year","Mica - Andhra Pradesh","Mica - Bihar","Mica - Jharkhand","Manganese - Madhya Pradesh","Limestone - Madhya Pradesh","China Clay* - Jharkhand"
2000.0,310.0,336.0,"435","392","888","338"
2001.0,419.0,349.0,"426",1016.0,1044.0,392.0
2002.0,430.0,349.0,"426",1013.0,954.0,395.0
2003.0,375.0,"NA",363.0,372.0,698.0,434.0
2004.0,418.0,"NA",363.0,400.0,808.0,436.0
2005.0,437.0,"NA",363.0,403.0,749.0,458.0
2006.0,542.0,"NA",427.0,409.0,858.0,451.0
2007.0,570.0,"NA",427.0,411.0,1067.0,481.0
2008.0,779.0,"NA",433.0,451.0,1379.0,510.0
2009.0,891.0,760.0,389.0,378.0,1664.0,596.0
