" S.No. "," State or UT","Number of Hospitals - Govt","Number of Hospitals - Local Body","Number of Hospitals -Others","Number of Beds - Govt","Number of Beds - Local Body","Number of Beds - Others","Number of Dispensaries - Govt","Number of Dispensaries -Local Body","Number of Dispensaries - Others"
1.0," Andhra Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0," Arunachal Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
3.0," Assam ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0," Bihar ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0," Chhattisgarh ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0," Delhi  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0," Goa ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0," Gujarat  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0," Haryana  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0," Himachal Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
11.0," Jammu and Kashmir  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
12.0," Jharkhand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0," Karnataka  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0," Kerala  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0," Madhya Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0," Maharashtra  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,"Manipur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0," Meghalaya ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.0,"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0," Orissa  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0," Punjab ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0," Rajasthan ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0," Sikkim",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
25.0," Tamil Nadu  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0," Tripura  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0," Uttar Pradesh  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0," Uttarakhand  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
29.0," West Bengal  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
30.0,"A and N Island",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0," Chandigarh ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,"D and N Haveli",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,"Daman and Diu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,"Lakshdweep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,"Puduchery",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
