"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",1124.0,578.0,408.0,170.0,716.0
2.0,"Arunachal Pradesh",192.0,"NA",1.0,"NA",191.0
3.0,"Assam",432.0,"NA",216.0,"NA",216.0
4.0,"Bihar##",280.0,280.0,151.0,129.0,129.0
5.0,"Chhattisgarh",592.0,592.0,82.0,510.0,510.0
6.0,"Goa",20.0,16.0,10.0,6.0,10.0
7.0,"Gujarat",1220.0,346.0,76.0,270.0,1144.0
8.0,"Haryana",428.0,257.0,45.0,212.0,383.0
9.0,"Himachal Pradesh",304.0,"NA",9.0,"NA",295.0
10.0,"Jammu & Kashmir",332.0,315.0,170.0,145.0,162.0
11.0,"Jharkhand",752.0,124.0,66.0,58.0,686.0
12.0,"Karnataka",720.0,"NA",584.0,"NA",136.0
13.0,"Kerala#",896.0,640.0,774.0,"NULL",122.0
14.0,"Madhya Pradesh ",1332.0,778.0,227.0,551.0,1105.0
15.0,"Maharashtra",1460.0,649.0,600.0,49.0,860.0
16.0,"Manipur",64.0,64.0,4.0,60.0,60.0
17.0,"Meghalaya",116.0,8.0,9.0,"NULL",107.0
18.0,"Mizoram",36.0,"NA",2.0,"NA",34.0
19.0,"Nagaland",84.0,"NA",34.0,"NA",50.0
20.0,"Odisha",1508.0,812.0,438.0,374.0,1070.0
21.0,"Punjab",516.0,460.0,300.0,160.0,216.0
22.0,"Rajasthan",1504.0,1068.0,569.0,499.0,935.0
23.0,"Sikkim",8.0,"NA",0.0,"NA",8.0
24.0,"Tamil Nadu3",1540.0,0.0,0.0,0.0,1540.0
25.0,"Tripura#",44.0,"NA",0.0,"NA",44.0
26.0,"Uttarakhand",220.0,210.0,78.0,132.0,142.0
27.0,"Uttar Pradesh",2060.0,2060.0,1894.0,166.0,166.0
28.0,"West Bengal",1392.0,542.0,175.0,367.0,1217.0
29.0,"A& N Islands",16.0,16.0,0.0,16.0,16.0
30.0,"Chandigarh",8.0,11.0,7.0,4.0,1.0
31.0,"D & N Haveli",4.0,0.0,0.0,0.0,4.0
32.0,"Daman & Diu",8.0,2.0,0.0,2.0,8.0
33.0,"Delhi",0.0,0.0,0.0,0.0,0.0
34.0,"Lakshadweep##",12.0,0.0,1.0,"NULL",11.0
35.0,"Puducherry",12.0,3.0,5.0,"NULL",7.0
36.0,"All India Total",19236.0,9831.0,6935.0,3880.0,12301.0
