"State/Year","Administrative Structure* - No. of Districts","Administrative Structure* - No. of Blocks#","No. of Villages","Rural Health Infrastructure (As on March 2011) - DH - 2010","Rural Health Infrastructure (As on March 2011) - DH - 2011","Rural Health Infrastructure (As on March 2011) - CHC - 2010","Rural Health Infrastructure (As on March 2011) - CHC - 2011","Rural Health Infrastructure (As on March 2011) - PHC - 2010","Rural Health Infrastructure (As on March 2011) - PHC - 2011","Rural Health Infrastructure (As on March 2011) - Sub-Centre - 2010","Rural Health Infrastructure (As on March 2011) - Sub-Centre - 2011"
"GRAND TOTAL",638.0,6345.0,640930.0,635.0,635.0,4535.0,4809.0,23673.0,23887.0,147069.0,148124.0
"Andhra Pradesh",23.0,1127.0,27800.0,17.0,17.0,167.0,281.0,1570.0,1624.0,12522.0,12522.0
"Arunachal Pradesh",16.0,69.0,5589.0,14.0,14.0,48.0,48.0,97.0,97.0,286.0,286.0
"Assam",27.0,219.0,26395.0,22.0,24.0,108.0,108.0,856.0,938.0,4604.0,4604.0
"Bihar",38.0,533.0,44874.0,36.0,36.0,70.0,70.0,1863.0,1863.0,9696.0,9696.0
"Chhattisgarh",16.0,146.0,20126.0,17.0,17.0,143.0,148.0,716.0,741.0,4776.0,5076.0
"Goa",2.0,11.0,334.0,2.0,2.0,5.0,5.0,19.0,19.0,172.0,175.0
"Gujarat",26.0,170.0,18225.0,"NA",24.0,290.0,305.0,1096.0,1123.0,7274.0,7274.0
"Haryana",21.0,119.0,6841.0,21.0,21.0,107.0,107.0,441.0,444.0,2484.0,2508.0
"Himachal Pradesh",12.0,75.0,20690.0,12.0,12.0,73.0,76.0,449.0,453.0,2071.0,2067.0
"Jammu & Kashmir",22.0,107.0,6553.0,22.0,22.0,77.0,83.0,375.0,397.0,1907.0,1907.0
"Jharkhand",24.0,211.0,32394.0,21.0,21.0,188.0,188.0,330.0,330.0,3958.0,3958.0
"Karnataka",30.0,176.0,29340.0,27.0,31.0,325.0,180.0,2193.0,2310.0,8143.0,8870.0
"Kerala$",14.0,152.0,1018.0,"NA",14.0,233.0,224.0,813.0,809.0,4575.0,4575.0
"Madhya Pradesh",50.0,313.0,54903.0,50.0,50.0,333.0,333.0,1155.0,1156.0,8869.0,8869.0
"Maharashtra",35.0,358.0,43662.0,23.0,23.0,365.0,365.0,1816.0,1809.0,10580.0,10580.0
"Manipur",9.0,36.0,2582.0,7.0,7.0,16.0,16.0,73.0,80.0,420.0,420.0
"Meghalaya",7.0,39.0,6839.0,10.0,10.0,29.0,29.0,109.0,109.0,405.0,405.0
"Mizoram",8.0,26.0,830.0,8.0,8.0,9.0,9.0,57.0,57.0,370.0,370.0
"Nagaland",11.0,52.0,1428.0,11.0,11.0,21.0,21.0,126.0,126.0,396.0,396.0
"Orissa",30.0,314.0,51313.0,32.0,32.0,231.0,377.0,1279.0,1228.0,6688.0,6688.0
"Punjab      ",20.0,141.0,12581.0,20.0,20.0,129.0,129.0,446.0,446.0,2950.0,2950.0
"Rajasthan",33.0,237.0,44672.0,33.0,34.0,368.0,376.0,1504.0,1517.0,11487.0,11487.0
"Sikkim",4.0,0.0,451.0,4.0,4.0,"NA",2.0,24.0,24.0,147.0,146.0
"Tamil Nadu",32.0,385.0,15979.0,29.0,30.0,256.0,385.0,1283.0,1204.0,8706.0,8706.0
"Tripura",4.0,40.0,875.0,2.0,2.0,11.0,11.0,79.0,79.0,627.0,632.0
"Uttar Pradesh ",71.0,813.0,106773.0,134.0,72.0,515.0,55.0,3692.0,239.0,20521.0,20521.0
"Uttarakhand",13.0,95.0,16793.0,18.0,18.0,55.0,515.0,239.0,3692.0,1765.0,1765.0
"West Bengal",19.0,341.0,40203.0,16.0,16.0,348.0,348.0,909.0,909.0,10356.0,10356.0
"A & N Islands",3.0,7.0,555.0,3.0,3.0,4.0,4.0,19.0,19.0,114.0,114.0
"Chandigarh",1.0,"NA",5.0,1.0,1.0,2.0,2.0,"NA","NA",16.0,17.0
"D & N Haveli",1.0,1.0,65.0,1.0,1.0,1.0,1.0,6.0,6.0,50.0,50.0
"Daman & Diu",2.0,2.0,19.0,2.0,2.0,2.0,2.0,3.0,3.0,26.0,26.0
"Delhi",9.0,14.0,112.0,18.0,9.0,"NA","NA",8.0,8.0,41.0,41.0
"Lakshadweep",1.0,1.0,21.0,2.0,1.0,3.0,3.0,4.0,4.0,14.0,14.0
"Puducherry",4.0,15.0,90.0,"NA",4.0,3.0,3.0,24.0,24.0,53.0,53.0
