"Sl. No.","Country of Citizenship",1980.0,1990.0,1991.0,"1994-97","1998-2001","2002-05"
1.0,"Argentina",25.0,65.0,62.0,244.0,273.0,321.0
2.0,"Australia",120.0,45.0,35.0,227.0,197.0,164.0
3.0,"Brazil ",123.0,98.0,118.0,681.0,612.0,567.0
4.0,"Canada",155.0,252.0,296.0,1180.0,1259.0,1458.0
5.0,"China",423.0,1150.0,1792.0,11297.0,9947.0,11594.0
6.0,"Egypt",74.0,159.0,109.0,365.0,327.0,487.0
7.0,"France",16.0,65.0,67.0,320.0,327.0,389.0
8.0,"Germany ",27.0,123.0,118.0,757.0,838.0,750.0
9.0,"India",371.0,711.0,752.0,5014.0,3855.0,3587.0
10.0,"Indonesia",20.0,53.0,62.0,310.0,223.0,237.0
11.0,"Italy",15.0,63.0,86.0,328.0,366.0,494.0
12.0,"Israel",66.0,74.0,85.0,323.0,164.0,227.0
13.0,"Japan",69.0,147.0,125.0,614.0,596.0,713.0
14.0,"Korea Rep.",131.0,971.0,1107.0,4017.0,3218.0,4062.0
15.0,"Nigeria",88.0,82.0,77.0,194.0,115.0,77.0
16.0,"U.K.","NA",104.0,134.0,485.0,516.0,480.0
