"S.No","State/UT","No. of National Parks","No. of 
Wildlife 
Sanctuaries","No. of 
Conservation
Reserves","No. of 
Community
Reserves"
1.0,"Andhra Pradesh",6.0,21.0,0.0,0.0
2.0,"Arunachal Pradesh",2.0,11.0,0.0,0.0
3.0,"Assam",5.0,18.0,0.0,0.0
4.0,"Bihar",1.0,12.0,0.0,0.0
5.0,"Chhatisgarh",3.0,11.0,0.0,0.0
6.0,"Goa",1.0,6.0,0.0,0.0
7.0,"Gujarat",4.0,23.0,1.0,0.0
8.0,"Haryana",2.0,8.0,2.0,0.0
9.0,"Himachal Pradesh",5.0,32.0,0.0,0.0
10.0,"Jammu & Kashmir",4.0,15.0,34.0,0.0
11.0,"Jharkhand",1.0,11.0,0.0,0.0
12.0,"Karnataka",5.0,22.0,2.0,1.0
13.0,"Kerala",6.0,16.0,0.0,1.0
14.0,"Madhya Pradesh",9.0,25.0,0.0,0.0
15.0,"Maharashtra",6.0,35.0,1.0,0.0
16.0,"Manipur",1.0,1.0,0.0,0.0
17.0,"Meghalaya",2.0,3.0,0.0,0.0
18.0,"Mizoram",2.0,8.0,0.0,0.0
19.0,"Nagaland",1.0,3.0,0.0,0.0
20.0,"Orissa",2.0,18.0,0.0,0.0
21.0,"Punjab",0.0,12.0,1.0,2.0
22.0,"Rajasthan",5.0,25.0,3.0,0.0
23.0,"Sikkim",1.0,7.0,0.0,0.0
24.0,"Tamil Nadu",5.0,21.0,1.0,0.0
25.0,"Tripura",2.0,4.0,0.0,0.0
26.0,"Uttar Pradesh",1.0,23.0,0.0,0.0
27.0,"Uttaranchal",6.0,6.0,2.0,0.0
28.0,"West Bengal",5.0,15.0,0.0,0.0
29.0,"Andaman & Nicobar",9.0,96.0,0.0,0.0
30.0,"Chandigarh",0.0,2.0,0.0,31.0
31.0,"Dadra & nagar haveli",0.0,1.0,0.0,0.0
32.0,"Lakshadweep",0.0,1.0,0.0,0.0
33.0,"Daman & Diu",0.0,1.0,0.0,0.0
34.0,"Delhi",0.0,1.0,0.0,0.0
35.0,"Pondicherry",0.0,1.0,0.0,0.0
0.0,"Total - All India",102.0,515.0,47.0,4.0
