"INDEX OF INDUSTRIAL PRODUCTION","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Base : 2004-05=100)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Two digit level indices (NIC-2004)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2 Digit",15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,"Mining","Manf.","Elect.","General"
"Weight",72.7572421601,15.7033630415,61.6360956515,27.8205643984,5.82054294973,10.5094249977,9.99113999099,10.7844461816,67.1531452689,100.588636611,20.2471609803,43.1427908085,113.351572584,30.8477093828,37.6298602517,3.05297049426,19.8040394038,9.89438635541,5.66810850745,40.6433659571,18.2498396842,29.9735943387,141.57,755.27,103.16,1000.0
"Apr'05",90.5,98.8,103.3,119.9,91.3,92.7,98.6,104.5,87.6,94.3,103.9,105.1,105.6,92.1,113.1,105.5,87.0,94.0,74.1,90.2,98.1,93.0,100.92,98.2013188053,103.024894669,99.0838025881
"May'05",89.6,99.9,103.8,107.3,84.3,110.2,104.3,106.9,95.4,96.9,107.8,108.8,105.7,97.2,110.7,124.9,100.1,100.3,93.0,104.7,100.4,128.0,103.35,102.343996449,108.195247227,103.090031402
"Jun'05",89.4,102.1,106.1,135.3,92.8,101.6,103.4,107.4,97.7,100.9,107.9,101.9,107.5,104.1,110.2,145.2,107.7,105.6,104.7,97.0,104.3,141.0,98.14,105.037817423,104.120273709,103.966639601
"Jul'05",83.8,102.4,108.0,113.5,86.2,102.1,107.3,113.6,101.3,98.9,113.7,100.1,108.0,104.5,106.6,120.5,107.4,102.9,92.9,106.7,103.4,130.8,95.53,103.835060568,101.733328338,102.442498447
"Aug'05",79.7,97.7,109.6,109.9,85.0,109.9,108.5,115.1,100.6,103.1,111.6,100.6,113.2,103.9,114.9,132.9,116.4,123.9,95.9,104.6,110.8,140.4,91.39,106.14628281,106.564440372,104.100372987
"Sep'05",78.7,100.1,107.7,112.7,88.1,103.3,106.1,111.7,97.0,100.7,114.8,98.5,111.8,113.1,128.5,191.7,120.1,128.3,102.8,110.2,128.9,136.3,93.69,107.089155361,99.5139596113,104.410779743
"Oct'05",91.9,96.8,108.7,95.4,92.3,100.9,107.8,121.3,91.1,102.7,116.7,107.1,121.4,112.1,115.9,143.9,120.6,137.6,92.6,116.2,135.0,121.9,100.37,108.715135684,106.713624458,107.327238927
"Nov'05",116.1,96.7,103.1,81.2,78.0,98.6,102.0,112.7,92.1,99.4,107.2,103.2,120.3,105.2,111.7,130.7,109.9,107.1,90.3,109.9,116.8,98.6,101.19,105.784080531,100.964928116,104.636552787
"Dec'05",169.9,111.4,112.2,116.4,99.5,124.3,111.0,121.4,112.0,107.0,115.1,114.9,120.1,122.8,135.1,162.6,136.9,113.3,95.8,93.5,113.3,101.9,108.66,119.717863985,106.793325545,116.819106795
"Jan'06",172.7,105.1,113.0,108.8,94.7,111.4,109.3,117.3,113.9,106.6,119.9,117.1,121.8,114.7,131.3,126.4,123.9,131.7,89.5,125.3,120.9,102.4,110.84,121.070713048,109.864882816,118.466357555
"Feb'06",155.2,98.7,103.7,117.6,95.3,111.4,102.3,112.5,103.9,97.2,111.3,110.2,116.5,114.8,142.7,141.3,121.0,160.9,91.1,120.9,118.9,90.4,104.28,115.288802427,102.640694558,112.425507459
