"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",281.0,255.0,117.0,138.0,164.0
2.0,"Arunachal Pradesh",48.0,"NA",9.0,"NA",39.0
3.0,"Assam",108.0,"NA",61.0,"NA",47.0
4.0,"Bihar## ",70.0,89.0,13.0,76.0,57.0
5.0,"Chhattisgarh",148.0,148.0,70.0,78.0,78.0
6.0,"Goa",5.0,8.0,7.0,1.0,"NULL"
7.0,"Gujarat",305.0,273.0,122.0,151.0,183.0
8.0,"Haryana",107.0,91.0,73.0,18.0,34.0
9.0,"Himachal Pradesh",76.0,71.0,63.0,8.0,13.0
10.0,"Jammu & Kashmir",83.0,77.0,81.0,"NULL",2.0
11.0,"Jharkhand",188.0,"NA",58.0,"NA",130.0
12.0,"Karnataka",180.0,"NA",172.0,"NA",8.0
13.0,"Kerala",224.0,13.0,10.0,3.0,214.0
14.0,"Madhya Pradesh",333.0,287.0,191.0,96.0,142.0
15.0,"Maharashtra ",365.0,153.0,130.0,23.0,235.0
16.0,"Manipur",16.0,13.0,13.0,0.0,3.0
17.0,"Meghalaya",29.0,21.0,22.0,"NULL",7.0
18.0,"Mizoram##",9.0,9.0,6.0,3.0,3.0
19.0,"Nagaland",21.0,"NA",1.0,"NA",20.0
20.0,"Odisha",377.0,61.0,42.0,19.0,335.0
21.0,"Punjab",129.0,114.0,117.0,"NULL",12.0
22.0,"Rajasthan",376.0,208.0,260.0,"NULL",116.0
23.0,"Sikkim",2.0,"NA",1.0,"NA",1.0
24.0,"Tamil Nadu",385.0,207.0,139.0,68.0,246.0
25.0,"Tripura",11.0,"NA",7.0,"NA",4.0
26.0,"Uttarakhand",55.0,55.0,13.0,42.0,42.0
27.0,"Uttar Pradesh## ",515.0,269.0,181.0,88.0,334.0
28.0,"West Bengal",348.0,366.0,226.0,140.0,122.0
29.0,"A& N Islands",4.0,4.0,2.0,2.0,2.0
30.0,"Chandigarh",2.0,5.0,2.0,3.0,0.0
31.0,"D & N Haveli",1.0,"NA",1.0,"NA",0.0
32.0,"Daman & Diu",2.0,3.0,3.0,0.0,"NULL"
33.0,"Delhi",0.0,0.0,0.0,0.0,0.0
34.0,"Lakshadweep",3.0,3.0,5.0,"NULL","NULL"
35.0,"Puducherry",3.0,3.0,3.0,0.0,0.0
36.0,"All India Total",4809.0,2806.0,2221.0,957.0,2593.0
