"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",1624.0,1390.0,1149.0,241.0,475.0
2.0,"Arunachal Pradesh",97.0,"NA","NA","NA","NA"
3.0,"Assam",938.0,"NA",452.0,"NA",486.0
4.0,"Bihar## ",1863.0,850.0,358.0,492.0,1505.0
5.0,"Chhattisgarh",741.0,1034.0,749.0,285.0,"NULL"
6.0,"Goa",19.0,20.0,18.0,2.0,1.0
7.0,"Gujarat",1123.0,1084.0,875.0,209.0,248.0
8.0,"Haryana",444.0,484.0,398.0,86.0,46.0
9.0,"Himachal Pradesh",453.0,350.0,245.0,105.0,208.0
10.0,"Jammu & Kashmir",397.0,375.0,88.0,287.0,309.0
11.0,"Jharkhand",330.0,"NA",85.0,"NA",245.0
12.0,"Karnataka",2310.0,3813.0,1036.0,2777.0,1274.0
13.0,"Kerala",809.0,809.0,795.0,14.0,14.0
14.0,"Madhya Pradesh ",1156.0,726.0,546.0,180.0,610.0
15.0,"Maharashtra",1809.0,3814.0,2955.0,859.0,"NULL"
16.0,"Manipur",80.0,73.0,72.0,1.0,8.0
17.0,"Meghalaya",109.0,85.0,79.0,6.0,30.0
18.0,"Mizoram##",57.0,57.0,12.0,45.0,45.0
19.0,"Nagaland##",126.0,15.0,16.0,"NULL",110.0
20.0,"Odisha",1228.0,1162.0,920.0,242.0,308.0
21.0,"Punjab",446.0,441.0,387.0,54.0,59.0
22.0,"Rajasthan",1517.0,1369.0,1420.0,"NULL",97.0
23.0,"Sikkim",24.0,24.0,18.0,6.0,6.0
24.0,"Tamil Nadu",1204.0,1204.0,1022.0,182.0,182.0
25.0,"Tripura",79.0,"NA",7.0,"NA",72.0
26.0,"Uttarakhand",239.0,141.0,137.0,4.0,102.0
27.0,"Uttar Pradesh#",3692.0,3811.0,2040.0,1771.0,1652.0
28.0,"West Bengal",909.0,0.0,0.0,0.0,909.0
29.0,"A& N Islands",19.0,19.0,10.0,9.0,9.0
30.0,"Chandigarh  ",0.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",6.0,7.0,1.0,6.0,5.0
32.0,"Daman & Diu",3.0,0.0,0.0,0.0,3.0
33.0,"Delhi",8.0,12.0,8.0,4.0,0.0
34.0,"Lakshadweep",4.0,1.0,1.0,0.0,3.0
35.0,"Puducherry",24.0,12.0,9.0,3.0,15.0
36.0,"All India Total",23887.0,23182.0,15908.0,7870.0,9036.0
