"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
1.0,"Agriculture-I","Programme Support for R&D in agricultural Biotechnology-phase-II Programme at G.B. Pant University of Agriculture and Technology, Pant Nagar [BT/PR5031/AGR/2/850/2012]","Prof. Anil Kumar Gupta
G.B. Pant University of Agric. & Tech. Pantnagar Pant Nagar, Uttarakhand-263128","11/05/2012","3 Years 0 Month",16314000.0
2.0,"Agriculture-I","Program Support for Research and Development in Agricultural Biotechnology-Phase-II at TNAU,Coimbatore [BT/PR5095/AGR/2/847/2012]","Prof. R  samiyappan
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","11/05/2012","3 Years 0 Month",19308000.0
3.0,"Agriculture-I","PROGRAMME SUPPORT FOR R&D IN AGRICULTURAL BIOTECHNOLOGY-PHASE II PROGRAMME AT PUNJAB AGRICULTURE UNIVERSITY,LUDHIANA [BT/PR5468/AGR/2/851/2012]","Dr. S S Gosal
Punjab Agricultural University Ludhiana, Punjab-141004","15/05/2012","3 Years 0 Month",25227600.0
4.0,"Agriculture-I","DBT Programme Support for research and development in Agricultural Biotechnology_ Phase II [BT/PR5400/AGR/2/856/2012]","Dr. P U Krishnaraj
University of Agricultural Sciences, Dharwad  Dharwad, Karnataka-580005","21/08/2012","3 Years 0 Month",15631680.0
5.0,"Agriculture-I","Next Generation challenge programme on chickpea genomic [BT/PR12919/AGR/02/676/2009]","Prof. A K Tyagi
National Institute of Plant Genome Research New Delhi, Delhi-110067","22/09/2009","5 Years 0 Month",155029256.0
6.0,"Agriculture-I","Biotechnological Approaches for Improving Agricultural Productivity  of Coastal Region. Component 1: Development of rice cultivars for climate change using genes identified and characterized from mangrove plants and their associates for salinity and submergence tolerance. COMPONENT 2 : Assessment of halophytes as a source of new crops for saline affected lands [BT/PR4999/AGR/2/846/2012]","Dr. Ajay  Parida
M.S. Swaminathan Research Foundation Chennai, Tamilnadu-600113","24/04/2012","3 Years 0 Month",19163600.0
7.0,"Agriculture-I","Phenomics and Genomics of Ragi (Eleusine coracana) [BT/PR5791/AGR/2/852/2012]","Dr. P Ananda Kumar
National Research Centre On Plant Biotechnology New Delhi, Delhi-110012","25/05/2012","3 Years 0 Month",25794000.0
8.0,"Agriculture-I","National Plant Gene Repository [BT/PR7853/AGR/02/378/2006]","Dr. Subhra  Chakraborty
National Institute of Plant Genome Research New Delhi, Delhi-110067","25/06/2008","5 Years 0 Month",14699480.0
9.0,"Agriculture-I","Abiotic stress tolerance transgenic plant production in cotton by over expression of SiNAC transcription factor gene from foxtail millet (Setaria italia L.)  through Agrobacterium tumefactions mediated transformation [BT/PR15256/AGR/02/791/2011]","Dr. N  Jayabalan
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","26/12/2011","3 Years 0 Month",3817434.0
10.0,"Agriculture-I","From QTL to Variety: Marker Asisted Breeding of Abiotic Stress Tolerant Rice Varieties with Major QTLs for Drought, Submergence and Salt Tolerance. [BT/PR/14544/AGR/02/745/2010]","Dr. N K Singh
National Research Centre On Plant Biotechnology New Delhi, Delhi-110012","29/09/2010","5 Years 0 Month",177447276.0
