" Year","No. of disputes","No. of workers involved","No. of mandays lost","","","",""," "," ","  "
" 2000","771","1418299","28763121","","","","","","",""
" 2001","674","687778","23766809","","","","","","",""
" 2002",579.0,1079434.0,26585919.0,"","","","","","",""
" 2003",552.0,1815945.0,30255911.0,"","","","","","",""
" 2004",477.0,2072221.0,23866367.0,"","","","","","",""
" 2005",456.0,2913601.0,29664999.0,"","","","","","",""
" 2006",430.0,1810348.0,20324378.0,"","","","","","",""
" 2007",389.0,724574.0,27166752.0,"","","","","","",""
" 2008",421.0,1579298.0,17433721.0,"","","","","","",""
" 2009",351.0,1626167.0,13296719.0,"","","","","","",""
" 2010",429.0,1062452.0,17932345.0,"","","","","","",""
"2011(P)",210.0,645420.0,4974610.0,"","","","","","",""
