"Indicators","1999-2000","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"India's Real GDP Growth Rates (at Factor Cost 2004-05 prices)",7.59,4.3,5.52,3.99,8.06,6.97,9.48,9.57,9.32,6.72,8.59,9.32,6.21,4.96
"Agriculture & Allied Sector Growth (% at 2004-05 prices)",2.67,-0.01,6.01,-6.6,9.05,0.18,5.14,4.16,5.8,0.09,0.81,7.94,3.65,1.79
"Agricultural Sector Growth (2004-2005 Prices)",2.4074230996,-0.606255313829,6.45883557699,-8.13630598216,10.8370876777,0.0650254308325,5.53086854903,4.12508250563,6.34106292184,-0.27183475894,0.409223645313,8.80969670889,3.90410778317,"na"
"Industry Growth (% at 2004-05 prices)",5.96,6.03,2.61,7.21,7.32,9.81,9.72,12.17,9.67,4.44,9.16,9.16,3.49,3.12
"Services Growth (% at 2004-05 prices)",11.19,5.37,6.88,6.97,8.06,8.13,10.91,10.06,10.27,9.98,10.5,9.75,8.2,6.59
"Consumption by Demand (%YOY)",7.2,3.0,5.3,2.3,5.4,2.3,8.6,7.9,9.3,7.6,8.1,8.1,5.4,5.0
"Private Consumption by Demand (%YoY)",6.1,3.4,6.0,2.9,5.9,2.1,8.5,8.7,9.2,7.1,7.0,8.1,5.5,5.0
"Public Consumption by Demand (% YoY)",13.2,0.9,2.3,-0.4,2.6,3.4,8.9,3.8,9.6,10.4,14.3,7.8,5.1,5.0
"Gross Fixed Capital Formation",11.2,0.0,7.4,6.8,13.6,20.7,16.2,13.8,16.2,3.5,6.8,7.5,5.5,4.5
"Consumption (% of GDP)",79.4,78.5,78.9,77.2,75.0,70.1,69.3,68.3,67.4,68.6,69.1,67.2,68.0,67.1
"Capital Formation (% of GDP)",25.3,23.8,22.3,24.6,26.9,32.8183900981,34.6500358647,35.6586136251,38.1136449445,34.3047671047,36.4803197122,36.8381487697,35.0026022438,35.4
"Gross Domestic Saving (% of GDP, 2004-05 Series)",25.6856782842,23.772602404,24.9272621057,25.9311627358,29.0276322499,32.4070039105,33.442386953,34.5986115054,36.8217123584,32.0177497332,33.6893683638,34.019583306,30.8112125899,31.8
"Saving-Investment Gap",-1.28392949938,-0.439556136602,-0.727393342036,0.906995249772,2.85628308973,-0.0471499340338,-0.837248403864,-1.27307594478,-1.21247327546,-3.50765493696,-2.60759783467,-2.95664708959,-4.88878741011,-3.6
"M3 Growth (Annual, end Dec.)",15.7462754321,16.6282313025,15.7581432469,13.0062734121,14.4088515057,14.93451698,18.8036555293,21.8299862011,21.2901880131,19.9739359658,16.3108569199,16.4792682157,13.5780487413,16.0
