"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",1905.0,1793.0,1476.0,317.0,429.0
2.0,"Arunachal Pradesh",145.0,"NA",88.0,"NA",57.0
3.0,"Assam",1046.0,"NA",1211.0,"NA","NULL"
4.0,"Bihar##",1933.0,683.0,498.0,185.0,1435.0
5.0,"Chhattisgarh",889.0,889.0,277.0,612.0,612.0
6.0,"Goa",24.0,24.0,22.0,2.0,2.0
7.0,"Gujarat",1428.0,1426.0,975.0,451.0,453.0
8.0,"Haryana",551.0,446.0,316.0,130.0,235.0
9.0,"Himachal Pradesh",529.0,387.0,320.0,67.0,209.0
10.0,"Jammu & Kashmir",480.0,529.0,630.0,"NULL","NULL"
11.0,"Jharkhand",518.0,518.0,371.0,147.0,147.0
12.0,"Karnataka",2490.0,"NA",1058.0,"NA",1432.0
13.0,"Kerala",1033.0,238.0,268.0,"NULL",765.0
14.0,"Madhya Pradesh",1489.0,816.0,606.0,210.0,883.0
15.0,"Maharashtra",2174.0,1492.0,1501.0,"NULL",673.0
16.0,"Manipur",96.0,133.0,132.0,1.0,"NULL"
17.0,"Meghalaya",138.0,146.0,134.0,12.0,4.0
18.0,"Mizoram##",66.0,40.0,71.0,"NULL","NULL"
19.0,"Nagaland",147.0,"NA",104.0,"NA",43.0
20.0,"Odisha",1605.0,476.0,330.0,146.0,1275.0
21.0,"Punjab",575.0,648.0,497.0,151.0,78.0
22.0,"Rajasthan",1893.0,1818.0,2639.0,"NULL","NULL"
23.0,"Sikkim",26.0,"NA",32.0,"NA","NULL"
24.0,"Tamil Nadu",1589.0,1406.0,896.0,510.0,693.0
25.0,"Tripura",90.0,"NA",63.0,"NA",27.0
26.0,"Uttarakhand",294.0,89.0,87.0,2.0,207.0
27.0,"Uttar Pradesh# ",4207.0,1116.0,995.0,121.0,3212.0
28.0,"West Bengal",1257.0,984.0,525.0,459.0,732.0
29.0,"A& N Islands",23.0,23.0,22.0,1.0,1.0
30.0,"Chandigarh",2.0,8.0,8.0,0.0,"NULL"
31.0,"D & N Haveli",7.0,"NA",9.0,"NA","NULL"
32.0,"Daman & Diu",5.0,4.0,4.0,0.0,1.0
33.0,"Delhi",8.0,3.0,2.0,1.0,6.0
34.0,"Lakshadweep",7.0,8.0,12.0,"NULL","NULL"
35.0,"Puducherry",27.0,10.0,29.0,"NULL","NULL"
36.0,"All India Total",28696.0,16153.0,16208.0,3525.0,13611.0
