"Year","Engineering Diploma Holders","Graduates - Medical*","Graduates - Agriculture*","Graduates  - Veterinary*","Graduates - Science*","Graduates - Engineering*","Graduates - Total","Post-graduates - Medical","Post-graduates - Agriculture","Post-graduates - Veterinary","Post-graduates - Science","Post-graduates - Total"
1971.0,54056.0,3848.0,7325.0,361.0,99189.0,19050.0,129773.0,105.0,682.0,31.0,10114.0,10932.0
1972.0,59847.0,5127.0,9092.0,200.0,160644.0,22808.0,197871.0,128.0,810.0,7.0,13642.0,14587.0
1973.0,55215.0,5664.0,8913.0,371.0,210716.0,23093.0,248757.0,184.0,959.0,19.0,16036.0,17198.0
1974.0,53901.0,6682.0,7370.0,376.0,215089.0,19344.0,248861.0,238.0,775.0,11.0,17565.0,18589.0
1975.0,55564.0,7301.0,7958.0,511.0,237607.0,17316.0,270693.0,422.0,887.0,4.0,19374.0,20687.0
1976.0,62447.0,8249.0,8285.0,489.0,241319.0,18385.0,276727.0,321.0,911.0,13.0,24557.0,25802.0
1977.0,74319.0,8948.0,9763.0,299.0,265656.0,19798.0,304464.0,385.0,1064.0,46.0,25529.0,27024.0
1978.0,84317.0,10637.0,9765.0,399.0,281693.0,20113.0,322607.0,627.0,871.0,25.0,25751.0,27274.0
1979.0,87275.0,12923.0,10841.0,433.0,286639.0,21781.0,332617.0,924.0,850.0,35.0,25788.0,27597.0
1980.0,90306.0,14809.0,11375.0,356.0,310692.0,21862.0,359094.0,1836.0,546.0,66.0,25651.0,28099.0
1981.0,106183.0,15536.0,13046.0,353.0,337190.0,20393.0,386518.0,618.0,762.0,51.0,28003.0,29434.0
1982.0,119345.0,17700.0,16075.0,578.0,353918.0,22982.0,411253.0,799.0,1009.0,19.0,34891.0,36718.0
1983.0,135141.0,17607.0,17027.0,528.0,379931.0,23825.0,438918.0,1066.0,1252.0,15.0,38822.0,41155.0
1984.0,148985.0,20636.0,18938.0,661.0,416623.0,27044.0,483902.0,844.0,1235.0,18.0,43500.0,45597.0
1985.0,189836.0,21800.0,24437.0,713.0,430095.0,35523.0,512568.0,1499.0,1489.0,14.0,54047.0,57049.0
1986.0,232965.0,26772.0,26677.0,864.0,515342.0,45226.0,614881.0,2194.0,1672.0,26.0,64610.0,68502.0
1987.0,248179.0,27233.0,24539.0,1613.0,494812.0,56992.0,605189.0,2406.0,1912.0,71.0,67539.0,71928.0
1988.0,298535.0,24781.0,26805.0,1138.0,500694.0,63538.0,616956.0,2505.0,2096.0,52.0,74173.0,78826.0
1989.0,368561.0,28051.0,28860.0,1619.0,545552.0,80198.0,684280.0,2818.0,2320.0,36.0,82101.0,87275.0
1990.0,315502.0,28988.0,29352.0,2067.0,636505.0,95563.0,792475.0,2743.0,2672.0,49.0,92953.0,98417.0
1991.0,333174.0,30827.0,31705.0,2503.0,659813.0,128422.0,853270.0,2913.0,2667.0,102.0,90948.0,96630.0
1992.0,407837.0,28080.0,29701.0,2826.0,675481.0,141225.0,877313.0,3206.0,3866.0,139.0,94332.0,101543.0
1993.0,430577.0,28560.0,29529.0,3328.0,676099.0,152015.0,889531.0,3334.0,3932.0,133.0,100249.0,107648.0
1994.0,401832.0,27446.0,28495.0,3566.0,695084.0,158509.0,913100.0,3186.0,4658.0,401.0,104923.0,113168.0
1995.0,421029.0,28207.0,31322.0,3887.0,704059.0,168066.0,935541.0,3275.0,4991.0,433.0,97715.0,106414.0
1996.0,"NA",28600.0,27800.0,4400.0,696900.0,171400.0,753300.0,3300.0,4700.0,"NULL",103600.0,111600.0
1997.0,"NA",33700.0,33000.0,5100.0,873100.0,186100.0,1131000.0,"NULL","NULL","NULL","NULL","NULL"
1998.0,553000.0,31310.0,36600.0,5000.0,784000.0,180900.0,1037810.0,3800.0,5100.0,500.0,120000.0,129400.0
1999.0,"NA",46600.0,35300.0,6800.0,966700.0,212200.0,1267600.0,"NULL","NULL","NULL","NULL","NULL"
2000.0,731700.0,46400.0,35200.0,6700.0,963300.0,211400.0,1263000.0,"NULL","NULL","NULL","NULL","NULL"
2001.0,762500.0,47900.0,36300.0,6900.0,993800.0,218200.0,1303100.0,"NULL","NULL","NULL","NULL","NULL"
2002.0,648400.0,46000.0,34900.0,6700.0,954000.0,209400.0,1251000.0,"NULL","NULL","NULL","NULL","NULL"
2003.0,690891.0,48000.0,37300.0,5300.0,997600.0,218800.0,1307000.0,"NULL","NULL","NULL","NULL","NULL"
2004.0,730944.0,47300.0,36800.0,5200.0,984000.0,215800.0,1289100.0,"NULL","NULL","NULL","NULL","NULL"
2005.0,773908.0,48500.0,37700.0,5400.0,1007400.0,220900.0,1319900.0,"NULL","NULL","NULL","NULL","NULL"
2006.0,810229.0,60700.0,47200.0,6700.0,1261400.0,276700.0,1652700.0,"NULL","NULL","NULL","NULL","NULL"
