"Year","State/UTs","D.P. T. (2nd Booster ) Immunisation
 for Children","T.T.
 (10 Years)","T.T.
 (16 Years)","Prophylaxis 
against Nutritional Anaemia among Mothers","Prophylaxis against Blindness due to Vit A Deficiency - 1st Dose *$*","Prophylaxis against Blindness due to Vit A Deficiency - 2nd Dose to 5th Dose","Tetanus Immunisation
for Expectant Mothers","D.P.T. Immunisation
for children","POLIO","B.C.G.","Measles"
"2010-11(P)","GRAND TOTAL",9.57,14.11,12.81,23.9,22.32,18.11,22.78,22.51,22.56,23.66,21.9
"2010-11(P)","Andhra Pradesh",1.19,1.43,1.17,1.63,1.47,1.07,1.64,1.48,1.47,1.49,1.46
"2010-11(P)","Arunachal Pradesh",0.005718,0.00623,"NA",0.01,"NA",0.007781,0.008826,0.02,0.02,0.26,0.011731
"2010-11(P)","Assam",0.15,0.21,0.02,0.66,0.51,0.4,0.56,0.57,0.56,0.62,0.55
"2010-11(P)","Bihar",0.14,0.38,0.48,2.61,1.56,0.38,1.79,1.93,1.82,2.26,1.92
"2010-11(P)","Chhattisgarh",0.39,0.55,0.47,0.58,0.56,0.59,0.59,0.57,0.57,0.59,0.57
"2010-11(P)","Delhi",0.05,0.03,0.03,0.39,0.18,0.16,0.21,0.23,0.23,0.3,0.21
"2010-11(P)","Goa",0.02,0.02,0.02,0.02,0.024369,0.01,0.02,0.023768,0.023799,0.02,0.023355
"2010-11(P)","Gujarat",0.64,0.78,0.77,1.2,1.09,1.79,1.24,1.19,1.19,1.24,1.153185
"2010-11(P)","Haryana",0.37,0.46,0.41,0.53,0.51,0.42,0.54,0.54,0.54,0.59,0.54
"2010-11(P)","Himachal Pradesh",0.1,0.11,0.1,0.09,0.5,0.15,0.12,0.12,0.12,0.129882,0.12
"2010-11(P)","Jammu & Kashmir",0.13,0.17,0.13,0.28,0.19,0.18,0.19,0.22,0.22,0.22,0.282151
"2010-11(P)","Jharkhand",0.16,0.265737,0.27,0.54,0.5,0.07,0.54,0.62,0.58,0.68,0.21
"2010-11(P)","Karnataka",0.67,0.79,0.67,1.21,1.01,1.09,1.18,1.1,1.09,1.12,1.04
"2010-11(P)","Kerala",0.27,0.3,0.28,0.33,0.33,0.32,0.35,0.38,0.38,0.39,0.37
"2010-11(P)","Madhya Pradesh",0.6,1.36,1.31,1.81,1.62,1.84,1.7,1.64,1.65,1.61,1.63
"2010-11(P)","Maharashtra",1.22,1.47,1.48,1.22,1.42,1.1,1.48,1.56,1.57,1.54,1.49
"2010-11(P)","Manipur",0.013488,0.010492,0.02,0.03,0.62,"NA",0.03,0.04,0.04,0.05,0.04
"2010-11(P)","Meghalaya",0.03,0.04,0.04,0.05,0.07,0.05,0.06,0.07,0.07,0.08,0.06
"2010-11(P)","Mizoram",0.017198,0.017854,0.02,0.02,0.01,0.01,0.02,0.018963,0.018612,0.019962,0.02
"2010-11(P)","Nagaland",0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
"2010-11(P)","Orissa",0.45,0.7,0.66,0.66,0.62,0.63,0.67,0.63,0.85,0.69,0.61
"2010-11(P)","Punjab",0.37,0.39,0.3,0.42,0.39,0.51,0.43,0.44,0.44,0.47,0.42
"2010-11(P)","Rajasthan",0.48,0.57,0.5,1.49,1.3,0.85,1.55,1.55,1.55,1.49,1.5
"2010-11(P)","Sikkim",0.013378,0.01485,0.01,"NA","NA",0.0,0.009657,0.010735,0.01,0.011133,0.010917
"2010-11(P)","Tamil Nadu",0.43,0.77,0.75,0.78,3.19,2.2,1.15,1.05,1.05,1.04,1.03
"2010-11(P)","Tripura",0.047069,0.03,0.03,0.05,0.05,0.04,0.046259,0.051336,0.050308,0.058276,0.051292
"2010-11(P)","Uttar Pradesh",0.67,2.18,1.98,3.89,4.0,2.71,4.99,4.99,4.77,5.15,4.54
"2010-11(P)","Uttarakhand",0.05,0.13,0.11,0.19,0.16,0.13,0.18,0.18,0.17,0.18,0.201757
"2010-11(P)","West Bengal",0.88,0.841466,0.61,1.47,1.33,1.31,1.4,1.39,1.38,1.55,1.35
"2010-11(P)","A & N Islands","NA","NA","NA","NA","NA","NA",0.006014,0.006117,0.006117,"NA",0.005557
"2010-11(P)","Chandigarh",0.014945,0.009536,"NA",0.01,0.01,0.01,0.018506,0.016383,0.016383,0.024067,0.016859
"2010-11(P)","D & N Haveli",0.005856,0.005923,"NA","NA","NA","NA",0.008033,0.007277,0.007277,0.007928,0.007153
"2010-11(P)","Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2010-11(P)","Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2010-11(P)","Puducherry",0.0191,0.01,0.01,0.03,0.0157,0.02,0.020274,0.016692,0.016692,0.043556,0.016418
"2010-11(P)","Other Agencies : Ministry of Defence",0.015773,0.009948,0.01,1.6,0.022069,0.03,0.02,0.04,0.06,0.03,0.028749
"2010-11(P)","Other Agencies : Ministry of Railways",0.013402,0.01,0.02,0.11,"NA",0.01,0.014294,0.02,0.033644,0.01,0.01
