"    State/Union Territory","Revenue 2007-08","Revenue 2008-09","Revenue 2009-10","Expenditure 2007-08","Expenditure 2008-09","Expenditure 2009-10","Net Revenue/ Deficit 2007-08","Net Revenue/ Deficit 2008-09","Net Revenue/ Deficit 2009-10"
" Andhra Pradesh",801396.0,871911.0,"NA",2397500.0,2635100.0,"NA",-1596104.0,-1763189.0,"NA"
" Arunachal Pradesh",76258.0,118460.0,94400.0,428210.0,496390.0,727010.0,-351952.0,-377930.0,-632610.0
" Assam",506270.0,626640.0,804941.0,1588000.0,1702500.0,2312300.0,-1081730.0,"NA",-1507359.0
" Bihar",65489.0,62979.0,69028.0,736250.0,785250.0,931280.0," NA",-722271.0,-862252.0
" Chhattisgarh",2260900.0,3112000.0,3413000.0,3110900.0,4308000.0,4107500.0,"NA",-1196000.0,-694500.0
" Goa",24750.0,28623.0,28494.0,134950.0,163990.0,363250.0,-191550.0,-135367.0,-334756.0
" Gujarat",558176.0,"NA","NA",36309.0,"NA","NA","NA","NA","NA"
" Haryana",337297.0,407254.0,553219.0,1581300.0,855120.0,1864300.0,-1244003.0,-447866.0,-1311081.0
" Himachal Pradesh",536000.0,554000.0,721100.0,2516500.0,3147300.0,3466700.0,-1980500.0,-2593300.0,-2745600.0
" Jammu & Kashmir",226684.0,253529.0,345474.0,1330100.0,1399100.0,1692800.0,-1103416.0,-1145571.0,-1347326.0
" Jharkhand",41497.0,"NA","NA",1717455.0,"NA","NA",-1675958.0,"NA","NA"
" Karnataka",1305070.0,1262300.0,1939900.0,3771400.0,4511200.0,5007600.0,-2438500.0,-3248900.0,-3067700.0
" Kerala",1544522.0,2237100.0,2727992.0,1658400.0,2055200.0,2083100.0,-113878.0,181900.0,644892.0
" Madhya Pradesh",6081000.0,6855700.0,6223300.0,7792500.0,8530800.0,5404300.0,-1711500.0,-1675100.0,819000.0
" Maharashtra",1925400.0,2555300.0,2238400.0,4584900.0,6127900.0,7202600.0,-2659500.0,-3572600.0,-4964200.0
" Manipur",13295.0,10223.0,20265.0,269730.0,257030.0,402080.0," NA",-246807.0,-381815.0
" Meghalaya",129359.0,148735.0,163891.0,533780.0,581090.0,787020.0,-404421.0,-432355.0,-623129.0
" Mizoram",5586.0,"NA","NA",290650.0,"NA","NA","NA","NA","NA"
" Nagaland",42553.0,46749.0,69738.0,359910.0,450470.0,542900.0,"NA",-403721.0,-473162.0
" Orissa",868000.0,"NA","NA",1917400.0,2695700.0,1743700.0,-1049400.0,"NA","NA"
" Punjab",145651.0,153719.0,263997.0,507470.0,"NA","NA",-361819.0,"NA","NA"
" Rajasthan",570695.0,562879.0,508436.0,2893300.0,3803900.0,"NA",-2322605.0,-3241021.0,"NA"
" Sikkim",70000.0,80000.0,100000.0,320530.0,336570.0,535440.0," NA",-256570.0,-435440.0
" Tamil Nadu",465192.0,798054.0,836943.0,27910.0,3290300.0,3105800.0,437282.0,-2492246.0,-2268857.0
" Tripura",55182.0,55700.0,62955.0,545920.0,424070.0,505550.0,"NA",-368370.0,-442595.0
" Uttar Pradesh",2946789.0,2648470.0,2729000.0,4113000.0,5125900.0,5719000.0,-1166211.0,-2477430.0,-2990000.0
" Uttarakhand",2031668.0,2057792.0,2750502.0,2619100.0,3201800.0,2917500.0,-587432.0,-1144008.0,-166998.0
" West Bengal",485614.0,450524.0,640194.0,2679000.0,2191300.0,3052800.0,-2193386.0,-1740776.0,-2412606.0
" A.& N. Islands",62177.0,71965.0,"NA",626880.0,937090.0,"NA","NA",-865125.0,"NA"
" Chandigarh"," NA","NA","NA"," NA","NA","NA"," NA","NA","NA"
" D.& N. Haveli",1197.0,"NA","NA",85186.0,"NA","NA",-83989.0,"NA","NA"
" Daman & Diu"," NA","NA","NA"," NA","NA","NA"," NA","NA","NA"
" Delhi"," NA","NA","NA",109490.0,85076.0,164340.0," NA","NA","NA"
" Lakshadweep"," NA","NA","NA"," NA","NA","NA"," NA","NA","NA"
" Puducherry"," NA","NA","NA"," NA","NA","NA"," NA","NA","NA"
