"No.","Components","2007-08","2008-09","2009-10","2010-11","2011-12","Average Eleventh Plan","2012--13","2013-14","2014-15","2015-16","2016-17","Average Twelfth Plan"
1.0,"Gross Savings in Financial Assets",15.4,13.0,15.1,13.9,11.1,13.7,12.4,13.8,15.0,16.1,16.4,14.7
2.0,"Increase in Financial Liabilities",3.8,2.9,3.1,3.6,3.1,3.3,3.4,3.8,4.2,4.5,4.5,4.1
3.0,"Net Household Financial Savings",11.6,10.1,12.0,10.4,8.0,10.4,9.0,10.0,10.8,11.6,11.9,10.7
4.0,"Household saving in physical assets",10.5,13.5,13.2,13.4,14.3,13.0,13.2,12.7,12.2,11.7,11.7,12.3
5.0,"Household savings total",22.4,23.6,25.2,23.5,22.3,23.4,22.8,22.7,23.0,23.3,23.6,23.0
6.0,"Savings by the private corporate sector",9.4,7.4,8.4,7.9,7.2,8.1,7.3,7.7,8.0,8.5,8.5,8.2
7.0,"Savings by the public sector",5.0,1.0,0.2,2.6,1.3,2.0,1.5,2.0,2.5,3.1,3.9,2.7
8.0,"Savings of government administration",0.5,-2.8,-3.1,-0.6,-2.0,-1.6,-1.8,-1.5,-1.2,-0.9,-0.3,-1.2
9.0,"Savings of  departmental enterprises",0.6,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.4
10.0,"Savings of non-departmental enterprises",3.9,3.3,2.8,2.9,3.0,3.2,3.0,3.1,3.3,3.5,3.7,3.3
11.0,"Gross Domestic Savings",36.8,32.0,33.7,34.0,30.8,33.5,31.0,32.4,33.5,34.9,36.0,33.6
12.0,"Net Savings from Abroad",1.3,2.3,2.8,2.8,4.2,2.7,4.8,3.8,3.0,2.8,2.5,3.4
13.0,"Finance for Investment",38.1,34.3,36.5,36.8,35.0,36.1,35.8,36.2,36.5,37.7,38.5,36.9
