"Periodicity - ending Month & Year","Scheme_No.","Ministry_Department_Name","Name of the Scheme","Total No. of beneficiaries","Total no. of beneficiaries with bank account","Total no. of beneficiaries with Aadhaar no. and bank account","Total no. of beneficiaries with bank account and databases seeded with Aadhar no."
41275.0,1.0,"Social Justice and Empowerment","Post-Matric Scholarship for SC Students",167499.0,130585.0,90599.0,"NA"
41275.0,2.0,"Social Justice and Empowerment","Pre-Matric Scholarship for SC Students",54840.0,17885.0,28578.0,"NA"
41275.0,3.0,"Social Justice and Empowerment","Pre-Matric Scholarship for Children of those engaged in unclean occupations",1865.0,196.0,925.0,"NA"
41275.0,4.0,"Social Justice and Empowerment","Upgradation of Merit of SC Students",20.0,20.0,20.0,"NA"
41275.0,5.0,"Social Justice and Empowerment","National Overseas Scholarship Schemes for SC Students.",0.0,0.0,0.0,"NA"
41275.0,6.0,"Social Justice and Empowerment","Post-Matric Scholarship for OBC Students",286691.0,266769.0,134733.0,"NA"
41275.0,7.0,"Social Justice and Empowerment","Top class Educations Scheme (SJE)",0.0,0.0,0.0,"NA"
41275.0,8.0,"Human Resource Development, D/o Higher Education","Scholarship to Universities/ College Students",12487.0,12487.0,0.0,"NA"
41275.0,9.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of UGC",753.0,412.0,67.0,"NA"
41275.0,10.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of AICTE",12854.0,0.0,0.0,"NA"
41275.0,11.0,"Human Resource Development, D/O School Education & Literacy","National Means cum Merit Scholarship",12636.0,10760.0,0.0,"NA"
41275.0,12.0,"Human Resource Development, D/O School Education & Literacy","National Scheme for Incentive for the Girls Child for Secondary Education",68229.0,0.0,0.0,"NA"
41275.0,13.0,"Tribal Affairs","Post-Matric Scholarship for ST Students",149915.0,90134.0,24686.0,"NA"
41275.0,14.0,"Tribal Affairs","Top Class Education System (TA)",51.0,0.0,0.0,"NA"
41275.0,15.0,"Tribal Affairs","Rajiv Gandhi National Fellowship (TA)",61.0,51.0,5.0,"NA"
41275.0,16.0,"Minority Affairs","Matric Scholarship Scheme",42958.0,33836.0,9135.0,"NA"
41275.0,17.0,"Minority Affairs","Maulana Azad National Fellowship",77.0,71.0,6.0,"NA"
41275.0,18.0,"Minority Affairs","Merit cum Means Scholarship Scheme",3401.0,2685.0,0.0,"NA"
41275.0,19.0,"Women and Child Development","Indira Gandhi Matrutva Sahyog Yojana (IGMSY)",83785.0,0.0,0.0,"NA"
41275.0,20.0,"Women and Child Development","Dhanalakshmi Scheme",8500.0,0.0,0.0,0.0
41275.0,21.0,"Health and Family Welfare","Janani Suraksha Yojana",148248.0,2470.0,1365.0,1365.0
41275.0,22.0,"Labour and Employment","Scholarship To The Children of Beedi Workers",11075.0,0.0,0.0,"NA"
41275.0,23.0,"Labour and Employment","Housing Subsidy to Beedi Workers",26.0,0.0,0.0,"NA"
41275.0,24.0,"Labour and Employment","Stipend to children in the special schools under the child labour project",12868.0,0.0,0.0,"NA"
41275.0,25.0,"Labour and Employment","Stipend to Trainees under the Scheme of Welfare of SC/ST job seekers through Coaching-cum-Guidance and Vocational Training",650.0,650.0,0.0,"NA"
41275.0,26.0,"Labour and Employment","Payment of stipend to trainees under the Scheme of Skill Development in 34 Districts affected by Left Wing Extremism (LWE)",112.0,0.0,21.0,"NA"
41275.0,0.0,"All 08 Ministries & Departments","All 26 Schemes together ",1079601.0,569011.0,290140.0,1365.0
41306.0,1.0,"Social Justice and Empowerment","Post-Matric Scholarship for SC Students",340737.0,309001.0,122825.0,4129.0
41306.0,2.0,"Social Justice and Empowerment","Pre-Matric Scholarship for SC Students",104693.0,74841.0,44659.0,5.0
41306.0,3.0,"Social Justice and Empowerment","Pre-Matric Scholarship for Children of those engaged in unclean occupations",4500.0,3401.0,2383.0,191.0
41306.0,4.0,"Social Justice and Empowerment","Upgradation of Merit of SC Students",74.0,68.0,47.0,14.0
41306.0,5.0,"Social Justice and Empowerment","National Overseas Scholarship Schemes for SC Students.",0.0,0.0,0.0,0.0
41306.0,6.0,"Social Justice and Empowerment","Post-Matric Scholarship for OBC Students",608485.0,597713.0,250680.0,3752.0
41306.0,7.0,"Social Justice and Empowerment","Top class Educations Scheme (SJE)",235.0,21.0,21.0,0.0
41306.0,8.0,"Human Resource Development, D/o Higher Education","Scholarship to Universities/ College Students",5642.0,5642.0,0.0,0.0
41306.0,9.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of UGC",753.0,412.0,67.0,67.0
41306.0,10.0,"Human Resource Development, D/o Higher Education","Fellowship Schemes of AICTE",9527.0,0.0,0.0,0.0
41306.0,11.0,"Human Resource Development, D/O School Education & Literacy","National Means cum Merit Scholarship",11451.0,11363.0,6867.0,2939.0
41306.0,12.0,"Human Resource Development, D/O School Education & Literacy","National Scheme for Incentive for the Girls Child for Secondary Education",49679.0,23648.0,16471.0,6815.0
41306.0,13.0,"Tribal Affairs","Post-Matric Scholarship for ST Students",156287.0,101883.0,15863.0,2100.0
41306.0,14.0,"Tribal Affairs","Top Class Education System (TA)",75.0,53.0,25.0,7.0
41306.0,15.0,"Tribal Affairs","Rajiv Gandhi National Fellowship (TA)",85.0,57.0,16.0,0.0
41306.0,16.0,"Minority Affairs","Matric Scholarship Scheme",46779.0,46618.0,18978.0,0.0
41306.0,17.0,"Minority Affairs","Maulana Azad National Fellowship",77.0,77.0,6.0,0.0
41306.0,18.0,"Minority Affairs","Merit cum Means Scholarship Scheme",3409.0,3409.0,979.0,0.0
41306.0,19.0,"Women and Child Development","Indira Gandhi Matrutva Sahyog Yojana (IGMSY)",33299.0,32436.0,8447.0,2922.0
41306.0,20.0,"Women and Child Development","Dhanalakshmi Scheme",7687.0,7687.0,7687.0,7687.0
41306.0,21.0,"Health and Family Welfare","Janani Suraksha Yojana",161051.0,8937.0,4762.0,4762.0
41306.0,22.0,"Labour and Employment","Scholarship To The Children of Beedi Workers",7055.0,1701.0,1701.0,1701.0
41306.0,23.0,"Labour and Employment","Housing Subsidy to Beedi Workers",26.0,26.0,19.0,19.0
41306.0,24.0,"Labour and Employment","Stipend to children in the special schools under the child labour project",1340.0,1340.0,1091.0,335.0
41306.0,25.0,"Labour and Employment","Stipend to Trainees under the Scheme of Welfare of SC/ST job seekers through Coaching-cum-Guidance and Vocational Training",42.0,40.0,19.0,0.0
41306.0,26.0,"Labour and Employment","Payment of stipend to trainees under the Scheme of Skill Development in 34 Districts affected by Left Wing Extremism (LWE)",24.0,20.0,20.0,20.0
41306.0,0.0,"All 08 Ministries & Departments","All 26 Schemes together ",1553012.0,1230394.0,503633.0,37465.0
