"Type of Pipeline","Owner",2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,"2012*"
"Crude Pipelines (Onshore)","ONGC ",431.88,431.88,431.88,431.88,431.88,435.38,435.38,643.45,643.45
"Crude Pipelines (Onshore)","OIL",1192.9,1192.9,1192.9,1192.9,1192.9,1192.9,1192.9,1192.9,1192.9
"Crude Pipelines (Onshore)","IOC",2810.0,2810.0,2810.0,3984.0,3984.0,4332.0,4332.0,4332.0,4342.0
"Crude Pipelines (Onshore)","BORL (JV with BPCL)","NA","NA","NA","NA","NA","NA","NA","NA",937.0
"Crude Pipelines (Onshore)","HPCL",11.0,10.6,10.6,10.6,11.0,11.0,19.0,19.1,19.0
"Crude Pipelines (Onshore)","HMEL ( JV with HPCL)","NA","NA","NA","NA","NA","NA","NA","NA",1014.0
"Crude Pipelines (Onshore)","Pvt. / JV",17.423,19.038,19.215,21.307,47.493,47.493,662.047,662.047,662.0
"Crude Pipelines (Offshore)","ONGC",284.0,284.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0
"Crude Pipelines (Offshore)","IOC",14.0,14.0,14.0,14.0,34.0,34.0,34.0,34.0,34.0
"Crude Pipelines (Offshore)","Pvt. / JV",178.636,178.636,178.636,199.567,199.567,199.567,204.897,204.897,205.0
"Gas Pipelines (Onshore)","IOC","NA","NA","NA","NA","NA","NA","NA",132.0,132.0
"Gas Pipelines (Onshore)","GAIL",5172.0,5471.0,5599.0,6197.0,7001.0,7190.0,7803.0,8197.0,9453.0
"Gas Pipelines (Onshore)","Petronet India Limited ",753.0,753.0,753.0,655.0,655.0,655.0,655.0,655.0,655.0
"Gas Pipelines (Onshore)","EOL","NA","NA","NA","NA","NA","NA","NA",15.0,15.0
"Gas Pipelines (Onshore)","RIL","NA","NA","NA","NA","NA",1375.0,1375.0,1375.0,1375.0
"Gas Pipelines (Onshore)","Pvt. / JV",29.932,34.842,35.182,35.342,41.112,41.112,728.937,728.937,775.0
"Gas Pipelines (Offshore)","ONGC",759.0,759.0,963.0,963.0,963.0,963.0,963.0,963.0,963.0
"Gas Pipelines (Offshore)","Pvt. / JV",123.252,123.252,132.422,136.922,258.891,410.891,504.091,504.091,504.0
"Product Pipelines (Onshore)","IOC",4762.0,4917.0,6138.0,5286.0,5286.0,5963.0,6175.0,6401.0,6401.0
"Product Pipelines (Onshore)","BPCL",610.0,610.0,610.0,1389.0,1389.0,1389.0,1389.0,1389.0,1648.0
"Product Pipelines (Onshore)","HPCL",732.0,732.0,732.0,2130.0,2130.0,2130.0,2134.0,2134.0,2134.0
"Product Pipelines (Onshore)","OIL","NA","NA","NA","NA","NA",654.0,654.0,654.0,654.0
"Product Pipelines (Onshore)","GAIL",1495.0,1927.0,1927.0,1927.0,1927.0,1964.0,1978.0,1978.0,2038.0
"Grand Total","Grand Total",19376.023,20268.148,22034.835,25061.518,26039.843,29475.343,31727.252,32702.422,36284.35
