"Indicator","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11 (QE)","2011-12 (RE)"
"1. Agriculture, Forestry & Fishing",5.13966460686,4.15534738354,5.7962822397,0.0929657446419,1.04012725545,7.03296106166,2.75904310584
"2. Mining & Quarrying",1.30898057111,7.47263207996,3.69310203288,2.14381699428,6.2923869257,4.98536819381,-0.870445813014
"3. Manufacturing",10.1042528545,14.315658691,10.2750772187,4.32843247127,9.66414851699,7.5631349621,2.4937458503
"4. Electricity, Gas & Water Supply",7.09692859992,9.29487656988,8.27131212344,4.55747198791,6.2805538832,3.0340108309,7.87405842281
"5. Construction",12.7915055384,10.3347551031,10.7754050125,5.33574224631,7.03760430176,8.00692685478,5.31454868785
"6. Trade, Hotels & Restaurant",12.171304182,11.1171709965,10.1013921246,5.68095595049,7.79429779956,8.9658231682,11.2910876039
"7. Transport, Storage & Communication",11.8174884293,12.5552658834,12.4826282023,10.8302515888,14.7960936725,14.7086146308,7.83018992708
"8. Financing, Ins., Real Estate & Business Services",12.618774218,13.9584433522,11.9524901838,12.0207156549,9.41604169243,10.4057369756,9.61400823366
"9. Community, Social & Pers. Services",7.06556182257,2.81474601306,6.86682932067,12.5185697526,12.0476500251,4.52047867846,5.80662496766
"10. Gross Domestic Product (GDP) at Factor Cost",9.4771118132,9.5691328042,9.32207222692,6.72476235694,8.39115841326,8.39280665805,6.47898107416
"19. Consumption of Fixed Capital","","","","","","",""
"20. Net Domestic Product (NDP) at Factor Cost",9.45121879612,9.52683744087,9.13407314724,6.36397032443,8.06402157759,8.38093029125,6.47898107416
"21. Net Factor Income from abroad","","","","","","",""
"22. Gross National Income (GNI) at Factor Cost",9.46352837277,9.49984706794,9.74888785731,6.54304953408,8.38752300498,7.88409908777,6.56934134546
"23. Net National Income (NNI) at Factor Cost",9.43576232194,9.44873611731,9.61140195222,6.15795037981,8.05765483177,7.8052927938,6.58128991225
"24. Population (in Mn.)","","","","","","",""
"25. Per Capita Income (Rs.)","","","","","","",""
"26. Net Indirect Taxes",-12.4763167852,-16.9445010495,10.6154514455,-50.9847873325,5.77008157594,28.7394236485,12.1049557662
"27. Indirect Taxes",11.4708201568,12.5900566158,10.190522267,-5.8285834623,-3.03833893449,18.7379652616,8.72123802716
"28. Subsidies",23.9471369419,29.5345576653,-0.42492917847,45.1562038702,-13.5299419881,4.16646620159,2.62841368046
"29. Gross Domestic Product (GDP) at Market Prices",9.28487231295,9.26396475894,9.80136033672,3.8909570625,8.23823046123,9.5528694188,6.85592335437
