"Year","Arts  Total  2008-09","Arts  Total  2009-10","Arts  Women  2008-09","Arts  Women  2009-10","Science  Total  2008-09","Science  Total  2009-10","Science  Women  2008-09","Science  Women  2009-10","Commerce  Total  2008-09","Commerce  Total  2009-10","Commerce  Women  2008-09","Commerce  Women  2009-10","       Total  2008-09","       Total  2009-10","       Total  Women  2008-09","       Total  Women  2009-10","Education  Total   2008-09","Education  Total  2009-10","Education  Women   2008-09","Education  Women  2009-10","Engineering/Tech., Including Polytechnics Total   2008-09","Engineering/Tech., Including Polytechnics Total  2009-10","Engineering/Tech., Including Polytechnics Women   2008-09","Engineering/Tech., Including Polytechnics Women  2009-10","Medicine  Total   2008-09","Medicine  Total  2009-10","Medicine  Women   2008-09","Medicine  Women  2009-10","Agriculture  Total   2008-09","Agriculture  Total  2009-10","Agriculture  Women   2008-09","Agriculture  Women  2009-10","         Law  Total   2008-09","         Law  Total  2009-10","         Law  Women   2008-09","         Law  Women  2009-10","        Others  Total   2008-09","        Others  Total  2009-10","        Others  Women   2008-09","        Others  Women  2009-10","        Total   2008-09","        Total  2009-10","        Total  Women   2008-09","        Total  Women  2009-10"
" Andhra Pradesh",111663.0,1270966.0,38511.0,60376.0,419472.0,359305.0,144944.0,142482.0,221362.0,208341.0,79702.0,86376.0,752497.0,1701450.0,263157.0,289234.0,53278.0,43803.0,16007.0,12482.0,364456.0,397161.0,120270.0,130555.0,7247.0,12731.0,2633.0,4095.0,3636.0,5760.0,1666.0,2585.0,7346.0,5597.0,2220.0,1643.0,61112.0,41725.0,19633.0,14415.0,497075.0,506777.0,162429.0,165775.0
" Arunachal Pradesh",9816.0,11449.0,4572.0,5167.0,785.0,915.0,397.0,454.0,688.0,891.0,220.0,332.0,11289.0,284277.0,5189.0,5953.0,200.0,200.0,114.0,114.0,3301.0,3185.0,1024.0,834.0,144.0,144.0,98.0,101.0,0.0,0.0,0.0,0.0,95.0,95.0,11.0,11.0,212.0,211.0,81.0,39.0,3952.0,3835.0,1328.0,1099.0
" Assam",153159.0,153317.0,61593.0,61719.0,35560.0,35940.0,6699.0,6839.0,17817.0,17817.0,2621.0,2621.0,206536.0,345886.0,70913.0,71179.0,2932.0,2932.0,1221.0,921.0,3049.0,8998.0,837.0,1994.0,2853.0,2853.0,896.0,896.0,922.0,922.0,306.0,424.0,7581.0,7581.0,1792.0,1792.0,916.0,731.0,418.0,367.0,18253.0,24017.0,5470.0,6394.0
" Bihar",454761.0,612929.0,157169.0,215007.0,163097.0,156309.0,32682.0,45741.0,62258.0,72276.0,10829.0,11165.0,680116.0,781352.0,200680.0,271913.0,7333.0,7333.0,2590.0,2959.0,8892.0,8883.0,951.0,960.0,10040.0,"",2585.0,2650.0,439.0,1438.0,45.0,341.0,14499.0,14830.0,2701.0,2939.0,17828.0,47745.0,6735.0,15217.0,59031.0,80229.0,15607.0,25066.0
"Chhatisgarh",165520.0,291377.0,87931.0,113154.0,30816.0,53011.0,16144.0,24068.0,34145.0,45302.0,15016.0,19407.0,230481.0,555968.0,119091.0,156629.0,6121.0,6121.0,3445.0,4573.0,19629.0,55535.0,4365.0,12168.0,5295.0,10341.0,2867.0,4075.0,4037.0,1124.0,520.0,256.0,2737.0,5067.0,1185.0,1540.0,1444.0,5264.0,557.0,2003.0,39263.0,83452.0,12939.0,24615.0
" Goa",4713.0,5491.0,3508.0,4139.0,4241.0,4611.0,2371.0,2653.0,8534.0,8500.0,5061.0,5322.0,17488.0,133139.0,10940.0,12114.0,272.0,272.0,232.0,228.0,3411.0,3550.0,1296.0,1371.0,1484.0,6515.0,1078.0,1021.0,0.0,192.0,0.0,103.0,732.0,819.0,392.0,441.0,1387.0,1332.0,680.0,716.0,7286.0,12680.0,3678.0,3880.0
" Gujarat",225780.0,212125.0,117483.0,105119.0,74627.0,75994.0,31953.0,31606.0,144206.0,171879.0,60979.0,74855.0,444613.0,341804.0,210415.0,211580.0,44095.0,44095.0,20616.0,26320.0,93413.0,105868.0,17522.0,19132.0,29105.0,1430.0,11801.0,13662.0,3394.0,3394.0,468.0,468.0,11119.0,9532.0,4044.0,3737.0,43906.0,70070.0,16754.0,24806.0,225032.0,234389.0,71205.0,88125.0
" Haryana",185485.0,157315.0,94570.0,80783.0,23367.0,40612.0,12331.0,21820.0,38079.0,42282.0,17944.0,20434.0,246931.0,263885.0,124845.0,123037.0,57742.0,57742.0,31699.0,43596.0,127480.0,113438.0,35652.0,29360.0,8596.0,32834.0,4327.0,4327.0,890.0,1271.0,103.0,193.0,3976.0,4475.0,1037.0,1029.0,25542.0,30824.0,6349.0,28834.0,224226.0,240584.0,79167.0,107339.0
" Himachal Pradesh",53869.0,67871.0,32103.0,38030.0,15884.0,19160.0,9073.0,10626.0,8549.0,12752.0,3244.0,5029.0,78302.0,146882.0,44420.0,53685.0,7097.0,7097.0,5527.0,6848.0,8204.0,12596.0,1821.0,2994.0,2748.0,8596.0,1553.0,3251.0,882.0,973.0,389.0,453.0,1183.0,1713.0,444.0,709.0,5949.0,9713.0,2047.0,4106.0,26063.0,40688.0,11781.0,18361.0
" Jammu & Kashmir",96095.0,118119.0,45952.0,56527.0,18383.0,6552.0,9006.0,2344.0,3356.0,15716.0,1616.0,7087.0,117834.0,438584.0,56574.0,65958.0,41058.0,41058.0,16666.0,20096.0,3972.0,3972.0,1090.0,1090.0,3620.0,5284.0,1807.0,1809.0,982.0,920.0,196.0,247.0,2154.0,2789.0,771.0,1136.0,3239.0,2572.0,1255.0,1026.0,55025.0,56595.0,21785.0,25404.0
