S.No.,State,2004,2005,2006,2007,2008,2009,2010
1,Andhra Pradesh,11,11,12,12,10,11,7
2,Assam,8,9,9,8,6,8,9
3,Bihar,1,2,1,1,0,1,1
4,Chattisgarh,15,18,19,17,15,12,12
5,Delhi,12,10,8,8,7,8,6
6,Gujarat,8,8,7,7,5,7,8
7,Haryana,9,7,7,6,6,9,9
8,Himachal Pradesh,20,19,19,16,11,9,10
9,Jammu & Kashmir,8,7,8,7,7,6,5
10,Jharkhand,1,NIL,1,1,2,2,1
11,Karnataka,12,13,15,15,15,17,14
12,Kerala,8,9,8,7,7,8,7
13,Madhya Pradesh,9,8,8,8,7,8,8
14,Maharashtra,12,12,12,12,11,8,7
15,Orissa,15,14,14,13,13,11,8
16,Punjab,14,14,14,12,11,8,6
17,Rajasthan,10,11,10,10,10,6,6
18,Tamil Nadu,8,11,11,9,9,11,10
19,Uttar Pradesh,13,10,10,9,9,9,5
20,West Bengal,10,9,9,8,8,11,9
21,All India,10,9,9,9,8,8,7
